,level_0,index,FeatureName,title,Sentence,CS_SS,p/n,Ref
0,0,7,compression,canon eos 60d ,i like that you can shoot both raw and jpeg at the same time without having to press a temp function like on the 7d.it arrived quickly even though it was on back order.,CS,P,canon eos 7d 
1,1,10,compression,canon eos 60d ,"unlike a couple recent posters, no problems with the grip rubber, and i have sweaty mitts!i'm mainly a raw shooter, but found default jpeg rendering excellent, a level better than my prior 50d and slightly better than my 7d.",CS,P,canon eos 7d 
2,2,11,compression,canon eos 6d,also canon intentionally crippled the hdr mode to only save in jpeg to provide differentiation to the 5d mk iii.,CS,N,canon eos 5d 
3,3,12,compression,canon eos 6d,"also if your considering the 5d m2, i think the benefit of five plus years of development has greatly benefited the 6d, and therefore would highly recommend the 6d over the 5d m2 for the sensor and new digic 5+ processor.pros:+awesome low light / high iso performance+great center af point for very low light focusing+wifi and gps built in provide awesome flexibility in shooting, especially for travelers+relatively light and small (for a full frame) without sacrificing solid construction+very bright and clear viewfinder (especially when compared to the rebels)+digic 5+ processor provides great jpeg improvements and fast enough shooting speedcons:-kit lens is only f/4, and the 24-70 f/2.8 is pricey!-hdr mode is slightly cumbersome to use and disappointing with its three shot exposure limitation-button layout takes a bit to adjust toplease feel free to sound off in the comments with questions!",CS,P,canon eos 5d 
4,4,15,compression,canon eos 6d,"both cameras have all their focus points centered in the middle anyway, so i don't really get having many focus points if you are all just going to concentrate them on the center.advantages of 6d vs d600-------------------------jpeg picture quality is very excellent.",CS,P,canon eos 60d 
5,5,16,compression,canon eos 6d,"the high iso setting produces very nice results in raw (jpegs are very noisy) and post-production in lightroom 5 can fix any issues (again, only when shooting in raw).still picture and video quality is superb and very close (some say better) than the 5d mark iii.the 6d shares a lot of the 5d mark iii's dna.",CS,P,canon eos 5d 
6,6,22,compression,canon eos rebel t3i ,"t3i18.0 megapixel cmos (aps-c) sensor and digic 4 image processor for high image quality and speed.iso 100 - 6400 (expandable to 12800) for shooting from bright to dim light.improved eos full hd movie mode with manual exposure control, expanded recording [1920 x 1080 full hd video at frame rates of 30 (29.97), 24 (23.976) and 25.0 frames per second] with new movie digital zoom and video snapshot features for enhanced movie shooting options.vari-angle 3.0-inch clear view lcd monitor (3:2) for shooting at high or low angles and 1,040,000-dot vga with reflection reduction using multi coating and high-transparency materials for bright and clear viewing.new scene intelligent auto mode and picture style auto incorporating the new eos scene detection system to capture beautiful scenes with ease.express your creativity with advanced imaging features like basic+ function, multi-aspect function and creative filters.enhanced metering with a 63-zone, dual-layer metering system for accurate metering between exposures, and 9-point af system utilizing a high precision, f/2.8 cross-type center point.3.7 fps continuous shooting up to approximately 34 jpegs or approximately 6 raw.new feature guide offers short descriptions of each function and quick control screen for easy operation.compatibility with sd/sdhc/sdxc memory cards.compatible with the full line of canon ef and ef-s lenses.the eos rebel t3i has an 18.0 megapixel cmos (complementary metal oxide semiconductor) sensor that captures images with exceptional clarity and tonal range and offers more than enough resolution for big enlargements or crops.",CS,P,canon eos rebel t3 
7,7,23,compression,canon eos rebel t3i ,"its aps-c size sensor creates an effective 1.6x field of view (compared to 35mm format).t2i vs t3i18.0 megapixel cmos (aps-c) sensor and digic 4 image processor for high image quality and speed.iso 100-6400 (expandable to 12800) for shooting from bright to dim light.improved eos movie mode with manual exposure control, expanded recording, new movie crop recording in 640 x 480 and external microphone in terminal for access to improved sound quality.enhanced ifcl 63-zone, dual-layer metering system; and 9-point af system utilizing a high-precision, f/2.8 cross-type center point.wide 3.0-inch (3:2 aspect ratio) clear view lcd monitor (1.04 million dots) for improved viewing.new quick control screen button for easy access to frequently used settings.improved layout with dedicated live view/movie shooting button.new compatibility with sdxc memory cards, plus new menu status indicator for eye-fi* support.3.7 fps continuous shooting up to approximately 34 jpegs or approximately 6 raw.compatible with the full line of canon ef and ef-s lenses.the eos rebel t2i has an 18.0 megapixel cmos (complementary metal oxide semiconductor) sensor that captures images with exceptional clarity and tonal range and offers more than enough resolution for big enlargements or crops.",CS,P,canon eos rebel t2i 
8,8,25,compression,canon eos rebel t4i ,"the bottom line is that for all practical purposes, the cameras will capture images at virtually the same speed, although the t3i may be slightly better with .jpegs.",CS,P,canon eos rebel t3 
9,9,27,compression,canon eos-1d,"i've already managed to capture images i would have never had the af speed and burst mode to capture.pros:12 fps burst (up to 14 if you lock up the mirror and don't mind jpeg)100-51,200 native iso (expandable to up to 204,800)images with great dynamic range18 mpcons:af point selection not always lit, making low light photography a bit more difficultcamera buttons aren't litaf can only be obtained with 5.6 /f or larger max aperture lenses18 mp (if you subscribe to the mp race)recommended - though you may want to ensure you're not better served with the 5d mkiii and a better lens or two.edit- please check the first comment in my review, i've included links to sites that helped me decide to make this purchase, so maybe they'll be helpful to others?edit- there is a firmware update to version 1.0.6.",CS,P,canon eos 5d 
