,level_0,index,Unnamed: 0,Unnamed: 0.1,FeatureName,FeatureID,teamID,ReviewID,asin,title,Sentence,CS_SS,p/n
0,0,0,2560,2560,compression,20,1,7555720,B00EP7154E,Canon Digital Camera PowerShot A3500,The camera does not do RAW processing but you would need only if you did not want to be limited by JPEG type storage.,CS,N
1,1,1,641,641,compression,20,12,1428284,B000V5P90K,Canon EOS 40D ,i have never regretted shooting jpeg only except when i get hate mail from raw shoots cursing my life.,CS,N
2,4,4,17,17,compression,20,13,2031910,B001G5ZTLS,Canon EOS 5D,"The second limitation is that the movies are ""finished"" in the same way that JPEGs are finished, which is to say that there's no movie RAW mode.",CS,N
3,5,5,645,645,compression,20,12,2031708,B001G5ZTLS,Canon EOS 5D,"With wide-aperture lenses, you'll be dead-on with manual focus every time.In terms of post-processing flexibility, Canon EOS video is like shooting JPEG, but worse because the H.264 video codec throws away even more unseen data.",CS,P
4,6,6,646,646,compression,20,12,2031708,B001G5ZTLS,Canon EOS 5D,Your call whether that's worth five times the price.SETTINGS:Some settings only affect JPEG images.,CS,P
5,7,7,647,647,compression,20,12,2031751,B001G5ZTLS,Canon EOS 5D,"High resolution, simple menu, light, user friendly; shoot jpeg or RAW with better lenses and you can print big.",CS,P
6,9,9,1173,1173,compression,20,12,5730182,B007FGYZFI,Canon EOS 5D ,")The menu settings were daunting at first, but these are the ones I use.Shoot I:Image quality JPEG LImage review: 2 secs.Beep: EnableRelease Shutter without card: OffLens Aberration correction: Enabled.",CS,N
7,14,14,1171,1171,compression,20,12,5730182,B007FGYZFI,Canon EOS 5D ,The improved AF is the reason I chose it over the 5D Mark II.No significant noise even in minimal light and easily correctable in Lightroom.Silent mode is fantastic.Feels substantially more rugged than my 50D.I shoot mainly JPEG unless traveling or special events.,CS,P
8,17,17,1182,1182,compression,20,12,5730294,B007FGYZFI,Canon EOS 5D ,Another feature that didn't make it into this camera that has all the cinematographers grumbling is there is no clean HDMI output which would allow the uncompressed video footage to be captured on an external recorder.,CS,P
9,18,18,1184,1184,compression,20,12,5730294,B007FGYZFI,Canon EOS 5D ,"Strangely though, only auto ISO is available in Av, Tv, and P. There are more shooting modes: 1080p at 24, 25, or 30 FPS and 720p mode now does 50 or 60 FPS, with two compression options,including an I-frame only compression for better quality suitable for grading.A whole wave of enthusiasts use the Magic Lantern firmware patch that allows cinematographers to gain access to enhanced functionality like manual audio, zebras, focus assist tools, and more.",CS,P
10,23,23,1192,1192,compression,20,12,5730382,B007FGYZFI,Canon EOS 5D ,"Note though that default NR in JPEG mode is fairly strong and that you will generally attain a better ""look"" from your files with the ""low"" NR setting.As an aside, the nasty cross-hatch banding present in the deep shadows of 5DII files is now gone with the Mark III.",CS,P
11,25,25,1195,1195,compression,20,12,5730401,B007FGYZFI,Canon EOS 5D ,"Highly satisfied.Also bring a 650D, this one slows down to 2fps after 3-5 seconds using JPEG Large fine.",CS,P
12,26,26,1197,1197,compression,20,12,5730440,B007FGYZFI,Canon EOS 5D ,I actually still don't now but what I do know is that the ALL-I mode is supposed to offer easier editing due to it's less compressed nature whereas the IPB mode actually compresses the image and allow that 16GB card that I mentioned earlier to store more footage.,CS,P
13,28,28,1199,1199,compression,20,12,5730524,B007FGYZFI,Canon EOS 5D ,"I know most people dont shoot Jpeg but if you ever want some painless shots of your kids or family and dont want to mess around with too much post processing, this camera produces the finest jpegs you will find in a camera.",CS,P
14,29,29,1202,1202,compression,20,12,5730526,B007FGYZFI,Canon EOS 5D ,"* The Mark III supports in-camera image stacking, which can be used for a variety of creative and scientific effects -- I haven't played with this yet, but this may be very useful for me.SD Card* Having a second slot, with the second one being SD is a very nice addition, you can now put an Eye-Fi in your second slot, save jpeg to the eye-fi, have photos show up on your iPad in realtime, and have the RAW's saved to a CF card.",CS,P
15,32,32,1206,1206,compression,20,12,5730562,B007FGYZFI,Canon EOS 5D ,"I didn't test Nikon's uncompressed HDMI out, although it seems to be a useful feature (this is like RAW HDMI output for video).",CS,P
16,34,34,1208,1208,compression,20,12,5730577,B007FGYZFI,Canon EOS 5D ,"Having owned the legendary Canon 5d MARK ii for more than 3.5 years, I finally decided to upgrade to this camera knowing the pros and cons discussed extensively on the web.Before I bought the camera, I actually got the chance to play with it as my friend had purchased one several months ago.I did some serious test, particularly on focusing, which I have a lot of complaint on the 5d2.Here are some subjective assessments:1) Low light focusing seems to have improved greatly on my 50 f/1.2 L, particularly on the side focal points.2) High ISO performance out of JPEG is ""mind-blowing""--- although the raw photos improved only by 1/2 step;  Picture quality does not really improve that much at low ISOs except that the high ISO images look stunning.3) The settings took some time to get adjusted to.",CS,P
17,37,37,1637,1637,compression,20,11,5730335,B007FGYZFI,Canon EOS 5D ,"I find more and more that I am able to dial in settings on the fly to get the image &#34;right&#34; in the camera, reducing post processing time.Since you can write RAW and JPEG, you've got files ready for transfer and the originals for playing with.This camera will age gracefully.",CS,P
18,38,38,1638,1638,compression,20,11,5730431,B007FGYZFI,Canon EOS 5D ,Yes I realize high pixel count doesn't make a sharper image or give one better composition... but if one chooses to shoot jpeg the 5DMKIII STARTS at 21megapixels and delivers stunning 9-10 MB jpeg images.,CS,P
19,39,39,1640,1640,compression,20,11,5730528,B007FGYZFI,Canon EOS 5D ,When I tested jpeg it seems Canon still has the old edge it had before with how the in cam software cleans up.It boils down to the 5D MIII being better then I expected and as versatile as my needs require.,CS,P
20,40,40,721,721,compression,20,12,3751930,B0040JHVC2,Canon EOS 60D ,"I assume that Canon chose this minimal level of compression deliberately, sacrificing file size economy for reduced in-camera processing and power consumption requirements.Just keep in mind that a 3 minute video clip from this camera is a full gigabyte, so if you shoot a lot of video, you will quickly use up even a large hard drive unless you re-process those MOV's to some other, more size-economical format.Who should buy a 60D:1.",CS,N
21,41,41,259,259,compression,20,13,3751825,B0040JHVC2,Canon EOS 60D ,"Canon says it's compatible with OSX 10.5, and the JPEG files are, but they don't advertise that CR files require OSX 10.6, as well as the newest version of PS.",CS,P
22,43,43,262,262,compression,20,13,3752141,B0040JHVC2,Canon EOS 60D ,"(At least Nikon had the brains to make video compression to h.264 this time)- Autofocus of 60d is fast,good and more than enough, period.",CS,P
23,44,44,718,718,compression,20,12,3751691,B0040JHVC2,Canon EOS 60D ,I like that you can shoot both RAW and Jpeg at the same time without having to press a temp function like on the 7D.It arrived quickly even though it was on back order.,CS,P
24,45,45,719,719,compression,20,12,3751694,B0040JHVC2,Canon EOS 60D ,"Further, jpegs are much better, they are sharp out of the camera, AF is (opposite to my sample of 450D) very accurate, colors are more realistic to those in real life, they are not dull (you can see much difference between various jpeg modes - landscape and neutral for example).",CS,P
25,46,46,720,720,compression,20,12,3751694,B0040JHVC2,Canon EOS 60D ,High ISO pictures are much cleaner than past xxD (or xxD cameras up to 500d) and you can go up to 3200 ISO for jpeg or to 6400 ISO when post-processing RAW images.,CS,P
26,47,47,723,723,compression,20,12,3751930,B0040JHVC2,Canon EOS 60D ,"The final file size was 24% of the original MOV file, and the file played much more smoothly in both VLC and Windows Media Player.Even at 4,000 kbps, the video is still pretty good, except that large areas of uniform color, like the sky, show strong compression artifacts (color banding), and sharp edges become slightly fuzzy.",CS,P
27,50,50,726,726,compression,20,12,3752097,B0040JHVC2,Canon EOS 60D ,"The JPEGs look great to me.ISO 1600 looks good at least on my 26 inch monitor with no cropping, but not blowing it up to the pixel level.",CS,P
28,51,51,727,727,compression,20,12,3752098,B0040JHVC2,Canon EOS 60D ,"When converting to jpeg, the other cameras (like the 60D) use the nearest full stop ISO and push the image to that value.",CS,P
29,52,52,728,728,compression,20,12,3752198,B0040JHVC2,Canon EOS 60D ,")Multi-control dial - offers a wide range of color variations (ambiances) that works much like Photoshop, but within the camera.In-Camera conversion - lets the user go from RAW to jpeg and apply new creative filters.In-Camera creation of special effects - this one works in RAW but not jpeg.The LCD Panel is a 3-inch screen that can flip out and be set at various angles.Movie recording capability.I've found that using the long-range lens in, for example, bird photography, the 18 megapixels give an enormous advantage for cropped photos.",CS,P
30,53,53,729,729,compression,20,12,3752198,B0040JHVC2,Canon EOS 60D ,"With the 10D, distance shots cropped were always a bit fuzzy, but the 60D keeps them in sharp focus.I am not a professional photographer and the 60D offers much more than I will ever use, but I like the autofocus, love the sharp images when cropping distance shots and love the ability to convert from RAW to jpeg within the camera.",CS,P
31,54,54,1479,1479,compression,20,11,3752082,B0040JHVC2,Canon EOS 60D ,"Unlike a couple recent posters, no problems with the grip rubber, and I have sweaty mitts!I'm mainly a RAW shooter, but found default JPEG rendering excellent, a level better than my prior 50D and slightly better than my 7D.",CS,P
32,56,56,1417,1417,compression,20,12,6576370,B009B0MZ8U,Canon EOS 6D,"Both live only in amateur-land and only create JPEGs.Focusing is glacially slow when using the screen rather than viewfinder (LiveView) if the camera is set to the default ""FlexiZoneAF"" and ""Live Mode"".",CS,N
33,57,57,1904,1904,compression,20,11,6576487,B009B0MZ8U,Canon EOS 6D,Also Canon intentionally crippled the HDR mode to only save in JPEG to provide differentiation to the 5D Mk III.,CS,N
34,58,58,1907,1907,compression,20,11,6576508,B009B0MZ8U,Canon EOS 6D,Main limitation of this that it saves a jpeg image only.,CS,N
35,59,59,1409,1409,compression,20,12,6576290,B009B0MZ8U,Canon EOS 6D,"You can bracket up to seven shots in 1/3 EV steps (note that if you want to bracket more than the default three shots you have to change a setting in the custom functions menu).The camera contains a lot of features for JPEG shooters (since I shoot mostly RAW I don't use these features often, but they seem nice to have for people who don't use post processing software).",CS,P
36,60,60,1410,1410,compression,20,12,6576290,B009B0MZ8U,Canon EOS 6D,"Also if your considering the 5d M2, I think the benefit of five plus years of development has greatly benefited the 6d, and therefore would highly recommend the 6d over the 5d M2 for the sensor and new Digic 5+ processor.Pros:+Awesome low light / high ISO performance+Great center AF point for very low light focusing+WiFi and GPS built in provide awesome flexibility in shooting, especially for travelers+Relatively light and small (for a full frame) without sacrificing solid construction+Very bright and clear viewfinder (especially when compared to the Rebels)+Digic 5+ processor provides great JPEG improvements and fast enough shooting speedCons:-Kit lens is only f/4, and the 24-70 f/2.8 is pricey!-HDR mode is slightly cumbersome to use and disappointing with its three shot exposure limitation-Button layout takes a bit to adjust toPlease feel free to sound off in the comments with questions!",CS,P
37,61,61,1411,1411,compression,20,12,6576344,B009B0MZ8U,Canon EOS 6D,Adjustments to raw files in post are vastly more flexible than the Picture Styles that control the 6D's JPEG engine.,CS,P
38,62,62,1412,1412,compression,20,12,6576344,B009B0MZ8U,Canon EOS 6D,"With a high DR scene (e.g., a sunny day with deep shadows), blown highlights and clipped shadows will be exacerbated by a high-contrast Picture Style set for the earlier scene.If you're careful configuring the body and the stars align, you can get decent JPEG output and forego work in post, but I consider a fast computer and a photo management system like Adobe Lightroom to be less complements than necessities.LENSES:I want to segue into this section because it's entwined with image quality.",CS,P
39,63,63,1414,1414,compression,20,12,6576344,B009B0MZ8U,Canon EOS 6D,"For that reason alone, video here remains very much a professional feature.In terms of post-processing flexibility, Canon EOS video is like shooting JPEG, but worse because the H.264 video codec throws away even more unseen data.",CS,P
40,64,64,1415,1415,compression,20,12,6576347,B009B0MZ8U,Canon EOS 6D,"Keep in mind though that the HDR function will only be available if you are shooting in JPEG mode, so if you're currently set in RAW you'll have to change that setting before setting up the in camera HDR.",CS,P
41,65,65,1418,1418,compression,20,12,6576607,B009B0MZ8U,Canon EOS 6D,"I spent 2+ months researching for my new camera, it is time for me to move up to a full-frame format and I have been a good boy and saved my money :-).What am I first: I don't claim to be a pro, just a DAD who takes family pictures and events, vacations and dogs.I shoot JPEG 99% of the time, because I would rather enjoy shooting than spend time on my computer, RAW files also takes time to process and load, I do RAW only when it is absolutely necessary.Shooting situations:--------------------Indoors (usually night or not ideal light settings), includes: parties, recitals, school programs: 90%Vacation  : 5%Kids activities: Parks, Tennis, Kids running and playing with dogs  : 5%Like most people, I struggled between d600 and 6d:--------------------------------------------------Nikon D600 - I almost bought this one from Costco due to the special kit discount.",CS,P
42,66,66,1419,1419,compression,20,12,6576607,B009B0MZ8U,Canon EOS 6D,"Both cameras have all their focus points centered in the middle anyway, so I don't really get having many focus points if you are all just going to concentrate them on the center.Advantages of 6d vs d600-------------------------JPEG picture quality is very excellent.",CS,P
43,67,67,1420,1420,compression,20,12,6576607,B009B0MZ8U,Canon EOS 6D,"I think Canon has the best JPEG engine, I can definitely reduce the need to work with RAW files.-Great camera for Indoors due to excellent high ISO performance, which covers 90% of my needs.",CS,P
44,70,70,1900,1900,compression,20,11,6576377,B009B0MZ8U,Canon EOS 6D,"Transfer also works quickly and files can be JPEGs or RAW, but it will only transfer a JPEG copy to your phone.DLNA also works fine.",CS,P
45,71,71,1902,1902,compression,20,11,6576384,B009B0MZ8U,Canon EOS 6D,"The high ISO setting produces very nice results in RAW (JPEGs are very noisy) and post-production in Lightroom 5 can fix any issues (again, only when shooting in RAW).Still picture and video quality is superb and very close (some say better) than the 5D Mark III.The 6D shares a lot of the 5D Mark III's DNA.",CS,P
46,72,72,1903,1903,compression,20,11,6576396,B009B0MZ8U,Canon EOS 6D,"You should have label your on flash clearly know what group it is set.The wireless transfer to your iPhone/Android phone is a big plus.The best center point focus with -3 ev is super fast and accurate.Can shoot three, five, or seven image groups for HDR.Very quiet mirror movement.Has a 14 RAW or 73 jpeg image buffer.The iso button has an extra nub on it.",CS,P
47,75,75,1910,1910,compression,20,11,6576508,B009B0MZ8U,Canon EOS 6D,"Now I never have to name my files with long descriptions like ""DTLA_CornerOfSpringSt&6thSt_Noon_3-14-2013.jpeg"" just so I can remember where I was.Wi-Fi: Works great!",CS,P
48,76,76,1911,1911,compression,20,11,6576508,B009B0MZ8U,Canon EOS 6D,"If you shoot RAW, this is not a deal breaker*Some special modes, ie Scene Handheld and HDR, can only be saved as jpeg.=====================================================================Nikon D600PROS:*Slightly better Dynamic Range than the Canon 6DI spent a long time testing out the RAW images but did not see a significant advantage.",CS,P
49,78,78,1917,1917,compression,20,11,6576688,B009B0MZ8U,Canon EOS 6D,I prefer to create my own JPEGs from raw images.The automatic white balance works well outdoors.,CS,P
