Unnamed: 0,Unnamed: 0.1,FeatureName,FeatureID,teamID,ReviewID,asin,title,Sentence,CS_SS,p/n,Ref_2,Ref
1171,1171,compression,20,12,5730182,B007FGYZFI,canon eos 5d ,the improved af is the reason i chose it over the 5d mark ii.no significant noise even in minimal light and easily correctable in lightroom.silent mode is fantastic.feels substantially more rugged than my 50d.i shoot mainly jpeg unless traveling or special events.,SS,P,[' 5d'],
1192,1192,compression,20,12,5730382,B007FGYZFI,canon eos 5d ,"note though that default nr in jpeg mode is fairly strong and that you will generally attain a better ""look"" from your files with the ""low"" nr setting.as an aside, the nasty cross-hatch banding present in the deep shadows of 5dii files is now gone with the mark iii.",SS,P,[' 5d'],
1208,1208,compression,20,12,5730577,B007FGYZFI,canon eos 5d ,"having owned the legendary canon 5d mark ii for more than 3.5 years, i finally decided to upgrade to this camera knowing the pros and cons discussed extensively on the web.before i bought the camera, i actually got the chance to play with it as my friend had purchased one several months ago.i did some serious test, particularly on focusing, which i have a lot of complaint on the 5d2.here are some subjective assessments:1) low light focusing seems to have improved greatly on my 50 f/1.2 l, particularly on the side focal points.2) high iso performance out of jpeg is ""mind-blowing""--- although the raw photos improved only by 1/2 step;  picture quality does not really improve that much at low isos except that the high iso images look stunning.3) the settings took some time to get adjusted to.",SS,P,"[' 5d', ' 5d']",
1638,1638,compression,20,11,5730431,B007FGYZFI,canon eos 5d ,yes i realize high pixel count doesn't make a sharper image or give one better composition... but if one chooses to shoot jpeg the 5dmkiii starts at 21megapixels and delivers stunning 9-10 mb jpeg images.,SS,P,[' 5d'],
1640,1640,compression,20,11,5730528,B007FGYZFI,canon eos 5d ,when i tested jpeg it seems canon still has the old edge it had before with how the in cam software cleans up.it boils down to the 5d miii being better then i expected and as versatile as my needs require.,SS,P,[' 5d'],
721,721,compression,20,12,3751930,B0040JHVC2,canon eos 60d ,"i assume that canon chose this minimal level of compression deliberately, sacrificing file size economy for reduced in-camera processing and power consumption requirements.just keep in mind that a 3 minute video clip from this camera is a full gigabyte, so if you shoot a lot of video, you will quickly use up even a large hard drive unless you re-process those mov's to some other, more size-economical format.who should buy a 60d:1.",SS,N,[' 60d'],
262,262,compression,20,13,3752141,B0040JHVC2,canon eos 60d ,"(at least nikon had the brains to make video compression to h.264 this time)- autofocus of 60d is fast,good and more than enough, period.",SS,P,[' 60d'],
718,718,compression,20,12,3751691,B0040JHVC2,canon eos 60d ,i like that you can shoot both raw and jpeg at the same time without having to press a temp function like on the 7d.it arrived quickly even though it was on back order.,CS,P,[' 7d'],canon eos 7d 
727,727,compression,20,12,3752098,B0040JHVC2,canon eos 60d ,"when converting to jpeg, the other cameras (like the 60d) use the nearest full stop iso and push the image to that value.",SS,P,[' 60d'],
729,729,compression,20,12,3752198,B0040JHVC2,canon eos 60d ,"with the 10d, distance shots cropped were always a bit fuzzy, but the 60d keeps them in sharp focus.i am not a professional photographer and the 60d offers much more than i will ever use, but i like the autofocus, love the sharp images when cropping distance shots and love the ability to convert from raw to jpeg within the camera.",SS,P,"[' 60d', ' 60d']",
1479,1479,compression,20,11,3752082,B0040JHVC2,canon eos 60d ,"unlike a couple recent posters, no problems with the grip rubber, and i have sweaty mitts!i'm mainly a raw shooter, but found default jpeg rendering excellent, a level better than my prior 50d and slightly better than my 7d.",CS,P,[' 7d'],canon eos 7d 
1904,1904,compression,20,11,6576487,B009B0MZ8U,canon eos 6d,also canon intentionally crippled the hdr mode to only save in jpeg to provide differentiation to the 5d mk iii.,CS,N,[' 5d'],canon eos 5d 
1410,1410,compression,20,12,6576290,B009B0MZ8U,canon eos 6d,"also if your considering the 5d m2, i think the benefit of five plus years of development has greatly benefited the 6d, and therefore would highly recommend the 6d over the 5d m2 for the sensor and new digic 5+ processor.pros:+awesome low light / high iso performance+great center af point for very low light focusing+wifi and gps built in provide awesome flexibility in shooting, especially for travelers+relatively light and small (for a full frame) without sacrificing solid construction+very bright and clear viewfinder (especially when compared to the rebels)+digic 5+ processor provides great jpeg improvements and fast enough shooting speedcons:-kit lens is only f/4, and the 24-70 f/2.8 is pricey!-hdr mode is slightly cumbersome to use and disappointing with its three shot exposure limitation-button layout takes a bit to adjust toplease feel free to sound off in the comments with questions!",CS,P,"[' 5d', ' 6d', ' 6d', ' 5d']",canon eos 5d 
1411,1411,compression,20,12,6576344,B009B0MZ8U,canon eos 6d,adjustments to raw files in post are vastly more flexible than the picture styles that control the 6d's jpeg engine.,SS,P,[' 6d'],
1418,1418,compression,20,12,6576607,B009B0MZ8U,canon eos 6d,"i spent 2+ months researching for my new camera, it is time for me to move up to a full-frame format and i have been a good boy and saved my money :-).what am i first: i don't claim to be a pro, just a dad who takes family pictures and events, vacations and dogs.i shoot jpeg 99% of the time, because i would rather enjoy shooting than spend time on my computer, raw files also takes time to process and load, i do raw only when it is absolutely necessary.shooting situations:--------------------indoors (usually night or not ideal light settings), includes: parties, recitals, school programs: 90%vacation  : 5%kids activities: parks, tennis, kids running and playing with dogs  : 5%like most people, i struggled between d600 and 6d:--------------------------------------------------nikon d600 - i almost bought this one from costco due to the special kit discount.",SS,P,"[' d60', ' 6d', ' d60']",
1419,1419,compression,20,12,6576607,B009B0MZ8U,canon eos 6d,"both cameras have all their focus points centered in the middle anyway, so i don't really get having many focus points if you are all just going to concentrate them on the center.advantages of 6d vs d600-------------------------jpeg picture quality is very excellent.",CS,P,"[' 6d', ' d60']",canon eos 60d 
1902,1902,compression,20,11,6576384,B009B0MZ8U,canon eos 6d,"the high iso setting produces very nice results in raw (jpegs are very noisy) and post-production in lightroom 5 can fix any issues (again, only when shooting in raw).still picture and video quality is superb and very close (some say better) than the 5d mark iii.the 6d shares a lot of the 5d mark iii's dna.",CS,P,"[' 5d', ' 6d', ' 5d']",canon eos 5d 
1911,1911,compression,20,11,6576508,B009B0MZ8U,canon eos 6d,"if you shoot raw, this is not a deal breaker*some special modes, ie scene handheld and hdr, can only be saved as jpeg.=====================================================================nikon d600pros:*slightly better dynamic range than the canon 6di spent a long time testing out the raw images but did not see a significant advantage.",SS,P,"[' d60', ' 6d']",
