,Unnamed: 0,FeatureName,FeatureID,teamID,ReviewID,asin,title,Sentence,CS_SS,p/n
0,0,compression,20,13,382561,B0001FFMCA,Pentax Optio S40 4MP Digital Camera with 3x Optical Zoom,"Whereas other brands of digital cameras may continue to take photos below 1.30 volts, only for the hapless photographer to later discover, back on their home computer, that those ""below 1.30 volt"" jpeg files are often corrupt.",CS,N
1,1,compression,20,13,516393,B0002XQJFA,Canon EOS 20D DSLR Camera with EF-S 18-55mm f/3.5-5.6 Lens (OLD MODEL),"When I first got the camera, I shot JPEG's.",CS,nothing
2,2,compression,20,13,516393,B0002XQJFA,Canon EOS 20D DSLR Camera with EF-S 18-55mm f/3.5-5.6 Lens (OLD MODEL),"Now I would not dream of shooting anything other than RAW, because of the ability to adjust your picture before converting it to a JPEG or TIFF.",CS,nothing
3,3,compression,20,13,612979,B0007RALGO,Kodak Easyshare Z730 5 MP Digital Camera with 4xOptical Zoom,"Most of the image sensors are identical between cameras, the jpeg processing differs only slightly between cameras, its the lens that matters.",CS,nothing
4,4,compression,20,13,665989,B0009IQ62Y,Konica Minolta X60 5MP Digital Camera with 3x Optical Zoom,"Not that I ever use a cord anyways, but I still appreciate the thought.- doesn't recharge via USB, must use the stand-alone charger.- When you pull the battery out, all settings are lost which is quite annoying, particularly because one of the settings is JPEG quality which, astonishingly isn't Fine by default.+ Shot to shot speed and flash recharge are both reasonably fast.Overall, for the price paid it is an excellent semi-disposable, convenient camera for quick snapshots and I don't have to worry about lugging around a huge bulky camera, I don't need to do anything to transfer my photos to the computer other than shoot them, and it is reasonably fast and clear.",CS,P
5,5,compression,20,13,676481,B0009OVRHC,Olympus Camedia D435 5MP Digital Camera,Good options in terms of picture size/compression for a camera in this price range.,SS,nothing
6,6,compression,20,13,971519,B000GHULTM,Panasonic DMC-LX2K 10.2MP Digital Camera with 4x Optical Image Stabilized Zoom (Black),I just purchased a used LX2 and am delighted with the image quality in Jpeg and even better is the RAW performance.,CS,P
7,7,compression,20,13,1012578,B000HTIHHW,"Fuji FinePix E550, 6.0 Megapixel, 4x Optical/6.3x Digital Zoom Digital Camera","Has some problems, like the mode dial that switches modes too easily in your pocket, has a 12mp mode that isn't really 12mp, and a 6mp mode that's a bit over-sharpened and overly compressed BUT nevertheless produces nice crisp, generally well-exposed images right out of the box.",CS,P
8,8,compression,20,13,1012578,B000HTIHHW,"Fuji FinePix E550, 6.0 Megapixel, 4x Optical/6.3x Digital Zoom Digital Camera",The 12mp Fine mode also produces an alternative to the more compressed and slightly over-sharpened 6mp mode but is a little noisier and softer.,CS,nothing
9,9,compression,20,13,1074276,B000J6CDL4,Leica DIGILUX 3 7.5MP Digital SLR Camera with Leica D 14-50mm f/2.8-3.5 ASPH Lens with Optical Image Stabilization,I have printed up to A2 from RAW and with a little sharpening tweak they look fine which suprised me a previously I did not print to A2 with less than 10Mpixels.The lens is great but the pictures in jpeg can be a little soft.,CS,P
10,10,compression,20,13,1152750,B000M4MLSS,Sony Cybershot DSCW200 12.1MP Digital Camera with 3x Optical Zoom and Super Steady Shot,"The lens became stuck in the open position a couple of months ago, probably due to dust or grit from my handbag but a little compressed air fixed the issue.",SS,N
11,11,compression,20,13,1243237,B000OC0TA0,Marvel Spiderman Digital Camera w/ 3 Faceplates (94044),My son was disappointed enough that he said he didn't really care about it being Spiderman if that was the type of pics it would take.There are 2 pic resolution settings and 2 compression settings so you can end up with 4 different combinations... bottom line is that you can take somewhere between 26 and 208 photos.,SS,nothing
12,12,compression,20,13,1639222,B0013DCOZC,Sigma DP1 14MP Digital Camera,I haven't had it long but I learned to shoot in RAW and use the Sigma software to convert to JPEG.,SS,nothing
13,13,compression,20,13,1639222,B0013DCOZC,Sigma DP1 14MP Digital Camera,Blown up to 100% even in JPEG you will see photos with no noise great color and gobs of detail.,SS,nothing
14,14,compression,20,13,1639263,B0013DCOZC,Sigma DP1 14MP Digital Camera,"One small note: to have best pictures, shoot RAW and use the latest Sigma Photo Pro (can be downloaded from Sigma website) to convert pictures to JPEG.",CS,P
15,15,compression,20,13,1828578,B0019FJM7W,Olympus Evolt E520 10MP Digital SLR Camera with Image Stabilization (Body Only),"- Excellent amount of customization and shooting modes- intuitive interface, super user friendly- displays a lot of useful information on a display and allows to changes settings easily from there- anti dust ultrasonic wave function to clean sensor (never cleaned mine so far)- functions found only in higher end DSLRs from other brands- excellent jpeg colors straight from the camera- double memory card slot CF  and XD- in body image stabilization IS, also can be adjusted manually for manual non-chip lens- high quality kit lens- not so great in low light resulting in grainy pictures- 2x crop factor great for reach when shooting wildlife- small sensor- autofocus in low light uses flash bursts which is quite annoying unless you get FL-50R flash that has infrared beams AFall in all is a great camera, that surprises me after so many years with ability for customization for every shooting situation, just recently I looked up Bremizer method and it discussed about assigning and locking your exposure and autofocus to another button.",CS,P
16,16,compression,20,13,2019371,B001FSKDWG,Panasonic Lumix DMC-G1 12.1MP Micro Four Thirds Interchangeable Lens Digital Camera with Lumix G Vario 14-45 mm f/3.5-5.6 ASPH Mega OIS Lens (Black),Jpeg images are also quite nice.,SS,P
17,17,compression,20,13,2031910,B001G5ZTLS,Canon EOS 5D Mark II Full Frame DSLR Camera (Body Only) (OLD MODEL),"The second limitation is that the movies are ""finished"" in the same way that JPEGs are finished, which is to say that there's no movie RAW mode.",CS,N
18,18,compression,20,13,2100275,B001K3JPRA,Olympus E30 12.3MP Digital SLR with Image Stabilization (Body Only),The picture quality is typical of Olympus cameras with very good JPEG shots right out of the camera.,SS,P
19,19,compression,20,13,2194934,B001OC7ITY,Kodak Easyshare M340 Digital Camera (Silver),"Now, four months later, the lens again zooms out instantly retracts and shuts down.I did all of the troubleshooting recommended, like compressed air cleaning and various resets, but no good.So I may send it back to United Camera ($64 for standard lens repair) and hope that it lasts this time as a backup.I have ordered her a Panasonic DMC-ZR3 replacement.",CS,P
20,20,compression,20,13,2284043,B001SER44W,Canon PowerShot SX1IS 10 MP CMOS Digital Camera with 20x Wide Angle Optical Image Stabilized Zoom and 2.8-inch LCD,I have never been impressed with either AVCHD or mp4 formats when compared to the less-compressed .mov format that this camera uses.,SS,P
21,21,compression,20,13,2284043,B001SER44W,Canon PowerShot SX1IS 10 MP CMOS Digital Camera with 20x Wide Angle Optical Image Stabilized Zoom and 2.8-inch LCD,I suspect that the reason why dedicated HD camcorders today do not use the .mov format and use the highly compressed AVCHD and mp4 is to save on memory usage and battery consumption at the expense of image and sound quality.,SS,nothing
22,22,compression,20,13,2284043,B001SER44W,Canon PowerShot SX1IS 10 MP CMOS Digital Camera with 20x Wide Angle Optical Image Stabilized Zoom and 2.8-inch LCD,This camera records audio with uncompressed linear PCM stereo which is non-existent in the current crop of consumer camcorders (as of 2/2012).,SS,nothing
23,23,compression,20,13,2284043,B001SER44W,Canon PowerShot SX1IS 10 MP CMOS Digital Camera with 20x Wide Angle Optical Image Stabilized Zoom and 2.8-inch LCD,The AVCHD codec used in most video cameras today is a clearly inferior format due to the aggressive compression standards that are not used in the SX1 IS.,CS,N
24,24,compression,20,13,2329645,B001TX9P6W,Olympus Evolt E620 12.3MP Live MOS Digital SLR Camera with Image Stabilization and 2.7 inch Swivel LCD w/ 14-42mm f/3.5-5.6 Zuiko Lens,"Every lens you mount is stabilized, even old manual focus stuff; it comes in incredibly handy.Olympus is rightfully renowned for its jpeg processing engine, which continues to impress me in the E620.",SS,P
25,25,compression,20,13,2329645,B001TX9P6W,Olympus Evolt E620 12.3MP Live MOS Digital SLR Camera with Image Stabilization and 2.7 inch Swivel LCD w/ 14-42mm f/3.5-5.6 Zuiko Lens,"A lot of people think of jpeg processing as a ""meh"" feature, claiming that all shooting should be done in RAW, but to those people I say - well, I'd rather be shooting than processing.",CS,P
26,26,compression,20,13,2388521,B001WAKSCW,Panasonic DMC-GH1K 12.1MP Four Thirds Interchangeable Lens Camera with 1080p HD Video,"The kit lens is simply not fast enough (f4-f5.6) for shooting decent quality indoors photos in most cases.5) If you plan to edit your videos, shoot MJPEG.",CS,P
27,27,compression,20,13,2388521,B001WAKSCW,Panasonic DMC-GH1K 12.1MP Four Thirds Interchangeable Lens Camera with 1080p HD Video,"The AVCHD 1080i resolution is not a benefit, when the quality sucks compared to MJPEG 720p.",SS,nothing
28,28,compression,20,13,2398132,B001XURPQI,Canon EOS Rebel T1i 15.1 MP CMOS Digital SLR Camera with 3-Inch LCD (Body Only),Files in PS are large when you are using either raw or fine jpeg -- 5184x3254 at 240 dpi is large file.,SS,P
29,29,compression,20,13,2398458,B001XURPQI,Canon EOS Rebel T1i 15.1 MP CMOS Digital SLR Camera with 3-Inch LCD (Body Only),"My other cameras were pretty basic, the old Pentax K-1000, and a Minolta Maxxum 300si, so this Canon is quite an upgrade for me.Pros:Autofocus is pretty fast and accurate.RAW + JpegRecharging batteryImage stabilizationMenu is fairly simpleAbility to setup custom settings for easy accessLots of settings, from basic ""point and shoot"" to more complex creative featuresGood compatibility with Mac'sCons:Like most SLR's, it's big and somewhat heavyShooting in low light is not always easy, if the meter cannot assess the low light situation the shutter will not activateSoftware it comes with is not very good.",CS,P
30,30,compression,20,13,2536261,B002CGSYKS,Olympus PEN E-P1 12 MP Micro Four Thirds Interchangeable Lens Digital Camera with 14-42mm f/3.5-5.6 Zuiko Digital Zoom Lens (Silver Body/Black Lens),"JPEGs straight from the camera are gallery-worthy (depending on the photographer's skill, of course).",SS,P
31,31,compression,20,13,2536270,B002CGSYKS,Olympus PEN E-P1 12 MP Micro Four Thirds Interchangeable Lens Digital Camera with 14-42mm f/3.5-5.6 Zuiko Digital Zoom Lens (Silver Body/Black Lens),The default color images that come out of the Olympus JPEG engine beat my 2 Nikon DSLRs.,CS,nothing
