,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,canon,digital,camera,powershot,a3500,,,,,,,,,,,,
1,canon,eos,40d,,,,,,,,,,,,,,
2,canon,eos,5d,,,,,,,,,,,,,,
3,canon,eos,5d,,,,,,,,,,,,,,
4,canon,eos,60d,,,,,,,,,,,,,,
5,canon,eos,6d,,,,,,,,,,,,,,
6,canon,eos,70d,,,,,,,,,,,,,,
7,canon,eos,7d,,,,,,,,,,,,,,
8,canon,eos,digital,rebel,300d,,,,,,,,,,,,
9,canon,eos,m,,,,,,,,,,,,,,
10,canon,eos,rebel,sl1,,,,,,,,,,,,,
11,canon,eos,rebel,t1i,,,,,,,,,,,,,
12,canon,eos,rebel,t2i,,,,,,,,,,,,,
13,canon,eos,rebel,t3,,,,,,,,,,,,,
14,canon,eos,rebel,t3i,,,,,,,,,,,,,
15,canon,eos,rebel,t4i,,,,,,,,,,,,,
16,canon,eos,rebel,t5,,,,,,,,,,,,,
17,canon,eos-1d,,,,,,,,,,,,,,,
18,canon,g12,10,,,,,,,,,,,,,,
19,canon,powershot,a1200,,,,,,,,,,,,,,
20,canon,powershot,a1400,,,,,,,,,,,,,,
21,canon,powershot,a2400,,,,,,,,,,,,,,
22,canon,powershot,a2500,,,,,,,,,,,,,,
23,canon,powershot,a2600,,,,,,,,,,,,,,
24,canon,powershot,a4000is,,,,,,,,,,,,,,
25,canon,powershot,a495,,,,,,,,,,,,,,
26,canon,powershot,a800,,,,,,,,,,,,,,
27,canon,powershot,d30,waterproof,digital,camera,,,,,,,,,,,
28,canon,powershot,elph,110,hs,,,,,,,,,,,,
29,canon,powershot,elph,115,,,,,,,,,,,,,
30,canon,powershot,elph,130,,,,,,,,,,,,,
31,canon,powershot,elph,300,,,,,,,,,,,,,
32,canon,powershot,elph,310,,,,,,,,,,,,,
33,canon,powershot,elph,320,,,,,,,,,,,,,
34,canon,powershot,elph,330,,,,,,,,,,,,,
35,canon,powershot,elph,520,,,,,,,,,,,,,
36,canon,powershot,elph,530,,,,,,,,,,,,,
37,canon,powershot,elph,530,,,,,,,,,,,,,
38,canon,powershot,g1,x,,,,,,,,,,,,,
39,canon,powershot,g15,,,,,,,,,,,,,,
40,canon,powershot,g16,,,,,,,,,,,,,,
41,canon,powershot,g1x,,,,,,,,,,,,,,
42,canon,powershot,n,,,,,,,,,,,,,,
43,canon,powershot,s100,,,,,,,,,,,,,,
44,canon,powershot,s110,,,,,,,,,,,,,,
45,canon,powershot,s120,,,,,,,,,,,,,,
46,canon,powershot,s90,,,,,,,,,,,,,,
47,canon,powershot,s95,,,,,,,,,,,,,,
48,canon,powershot,sd1400,,,,,,,,,,,,,,
49,canon,powershot,sd4000,,,,,,,,,,,,,,
50,canon,powershot,sd4500,,,,,,,,,,,,,,
51,canon,powershot,sx130,,,,,,,,,,,,,,
52,canon,powershot,sx160,,,,,,,,,,,,,,
53,canon,powershot,sx170,,,,,,,,,,,,,,
54,canon,powershot,sx1,,,,,,,,,,,,,,
55,canon,powershot,sx20,,,,,,,,,,,,,,
56,canon,powershot,sx230,,,,,,,,,,,,,,
57,canon,powershot,sx260,,,,,,,,,,,,,,
58,canon,powershot,sx50,,,,,,,,,,,,,,
59,canon,powershot,sx510,,,,,,,,,,,,,,
60,canon,powershot,sx600,,,,,,,,,,,,,,
61,canon,powershot,sx700,,,,,,,,,,,,,,
62,canon,rebel,t5i,,,,,,,,,,,,,,
63,canon,sx30is,,,,,,,,,,,,,,,
64,canon,sx40,hs,,,,,,,,,,,,,,
65,casio,ex-fh100,,,,,,,,,,,,,,,
66,emerson,go,action,cam,720p,hd,digital,video,camera,pro,grade,5,mp,video,with,screen,white
67,eos,5d,mark,ii,,,,,,,,,,,,,
68,ex2f,,,,,,,,,,,,,,,,
69,fuji,finepix,a120,,,,,,,,,,,,,,
70,fuji,finepix,e550,,,,,,,,,,,,,,
71,fuji,finepix,s3300,,,,,,,,,,,,,,
72,fujifilm,3d,digital,camera,finepix,real,3d,w3,f,fx-3d,w3s,(japan,import),,,,
73,fujifilm,f800exr,,,,,,,,,,,,,,,
74,fujifilm,finepix,ax650,,,,,,,,,,,,,,
75,fujifilm,finepix,f300exr,,,,,,,,,,,,,,
76,fujifilm,finepix,f500exr,,,,,,,,,,,,,,
77,fujifilm,finepix,f550exr,,,,,,,,,,,,,,
78,fujifilm,finepix,f770exr,,,,,,,,,,,,,,
79,fujifilm,finepix,f900exr,,,,,,,,,,,,,,
80,fujifilm,finepix,hs10,,,,,,,,,,,,,,
81,fujifilm,finepix,hs20,,,,,,,,,,,,,,
82,fujifilm,finepix,hs30,,,,,,,,,,,,,,
83,fujifilm,finepix,hs35,,,,,,,,,,,,,,
84,fujifilm,finepix,hs50,,,,,,,,,,,,,,
85,fujifilm,finepix,jx680,,,,,,,,,,,,,,
86,fujifilm,finepix,real,3d,w3,,,,,,,,,,,,
87,fujifilm,finepix,s1,,,,,,,,,,,,,,
88,fujifilm,finepix,s2800hd,,,,,,,,,,,,,,
89,fujifilm,finepix,s5,,,,,,,,,,,,,,
90,fujifilm,finepix,s8200,,,,,,,,,,,,,,
91,fujifilm,finepix,sl1000,,,,,,,,,,,,,,
92,fujifilm,finepix,t300,,,,,,,,,,,,,,
93,fujifilm,x10,,,,,,,,,,,,,,,
94,fujifilm,x100,,,,,,,,,,,,,,,
95,fujifilm,x100s,,,,,,,,,,,,,,,
96,fujifilm,x20,,,,,,,,,,,,,,,
97,fujifilm,x-a1,,,,,,,,,,,,,,,
98,fujifilm,x-e1,,,,,,,,,,,,,,,
99,fujifilm,x-e1,,,,,,,,,,,,,,,
100,fujifilm,x-e2,,,,,,,,,,,,,,,
101,fujifilm,xf1,,,,,,,,,,,,,,,
102,fujifilm,x-m1,,,,,,,,,,,,,,,
103,fujifilm,x-pro,1,,,,,,,,,,,,,,
104,fujifilm,xq1,,,,,,,,,,,,,,,
105,fujifilm,x-s1,,,,,,,,,,,,,,,
106,fujifilm,x-t1,,,,,,,,,,,,,,,
107,ge,power,pro,x500-bk,,,,,,,,,,,,,
