,Unnamed: 0,Unnamed: 0.1,asin,date,model,product,review,score,user,CS_SS,feature
0,2,2,B079GDB7C7,"June 7, 2018",,Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,"I'm deflashed to have a mono-pole but will use a regular tripod, which I already have, when using the longest lens.",5,michs,CS,"lens,flash"
1,3,3,B079GDB7C7,"October 12, 2018",,Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,"And you can add better lenses, I have a EF 100-400mm f/4.5-5.6 IS II USM lens and the photos with it and this camera are mind blowing!",4,Denis Allman,CS,lens
2,4,4,B079GDB7C7,"November 26, 2018",,Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,I couldn't have asked for better packaging with the camera and one lens wrapped with bubble wrap.,5,PrestonPhoto,CS,lens
3,5,5,B079GDB7C7,"January 9, 2019",,Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,"The lenses are not the best quality, but they are pretty well made and should last for a very long time if not abused.",4,Father,CS,lens
4,7,7,B01BVV6G72,"June 2, 2018",,Canon PowerShot ELPH 180 20 MP Digital Camera (Red) + 32GB Card + Battery and Charger + Accessory Bundle,"Most of this stuff I don't know what to do with, so will leave in their boxes until I figure them out (""USB multicard reader/writer"", tripod (extends to 8 ""), LCD/lens cleaner, memory card wallet, SanDisk Ultra 32GB SD Card (it says 16 mp photo/7 mb file size = 2000 and video (mpeg-4/H.264, 1920x1080 @30fps) in minutes = 40), and some odd Focus Squeegee card w fluid and Qtips and a floppy card w a grid and ruler printed on it (does anyone know what this stuff is for?",4,Kristin Maryland,CS,"lens,memory,LCD"
5,11,11,B01BVV6G72,"June 2, 2018",Canon-PowerShot-ELPH-180-Accessory,Canon PowerShot ELPH 180 20 MP Digital Camera (Red) + 32GB Card + Battery and Charger + Accessory Bundle,"Most of this stuff I don't know what to do with, so will leave in their boxes until I figure them out (""USB multicard reader/writer"", tripod (extends to 8 ""), LCD/lens cleaner, memory card wallet, SanDisk Ultra 32GB SD Card (it says 16 mp photo/7 mb file size = 2000 and video (mpeg-4/H.264, 1920x1080 @30fps) in minutes = 40), and some odd Focus Squeegee card w fluid and Qtips and a floppy card w a grid and ruler printed on it (does anyone know what this stuff is for?",4,Kristin Maryland,CS,"lens,memory,LCD"
6,17,17,B079GDB7C7,"June 7, 2018",Canon-18-55mm-75-300mm-Filters-Professional,Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,"I'm deflashed to have a mono-pole but will use a regular tripod, which I already have, when using the longest lens.",5,michs,CS,"lens,flash"
7,18,18,B079GDB7C7,"October 12, 2018",Canon-18-55mm-75-300mm-Filters-Professional,Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,"And you can add better lenses, I have a EF 100-400mm f/4.5-5.6 IS II USM lens and the photos with it and this camera are mind blowing!",4,Denis Allman,CS,lens
8,19,19,B079GDB7C7,"November 26, 2018",Canon-18-55mm-75-300mm-Filters-Professional,Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,I couldn't have asked for better packaging with the camera and one lens wrapped with bubble wrap.,5,PrestonPhoto,CS,lens
9,20,20,B079GDB7C7,"January 9, 2019",Canon-18-55mm-75-300mm-Filters-Professional,Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,"The lenses are not the best quality, but they are pretty well made and should last for a very long time if not abused.",4,Father,CS,lens
10,42,42,B019UDHT6U?pageNumber=2,"May 29, 2018",Canon-PowerShot-Digital-Camera-Stabilization,Canon PowerShot ELPH 180 Digital Camera w/Image Stabilization and Smart AUTO Mode (Red),"Our iPhones take vastly better focused pictures with better dynamic range, even with their tiny lenses.",1,Mike C,CS,"lens,focus"
11,46,46,B011PKJI2Y,"December 2, 2015",PANASONIC-Features-Megapixel-2-3-inch-Dustproof,"PANASONIC LUMIX FZ300 Long Zoom Digital Camera Features 12.1 Megapixel, 1/2.3-inch Sensor, 4K Video, WiFi, Splash & Dustproof Camera Body, Leica DC 24X F2.8 Zoom Lens - DMC-FZ300K - (Black) USA","I wish they'd spent their money on a faster lens, a larger sensor, and better dynamic range.",4,Kindle Customer,CS,lens
12,48,48,B011PKJI2Y,"December 20, 2015",PANASONIC-Features-Megapixel-2-3-inch-Dustproof,"PANASONIC LUMIX FZ300 Long Zoom Digital Camera Features 12.1 Megapixel, 1/2.3-inch Sensor, 4K Video, WiFi, Splash & Dustproof Camera Body, Leica DC 24X F2.8 Zoom Lens - DMC-FZ300K - (Black) USA","The FZ200 has the same lens and sensor as the FZ300 but the difference that the improved processor, much better EVF and touch LCD, much better build quality, weather proofing make this camera a terrific buy.",5,Roger James,CS,"lens,LCD"
13,62,62,B079GDB7C7?pageNumber=2,"January 13, 2019",Canon-18-55mm-75-300mm-Filters-Professional,Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,I even went to a store to look at this exact camera before purchasing and the store's price just for the camera and a small lens was more than this whole package.,5,Mary,CS,lens
14,74,74,B00KW5OKU4?pageNumber=2,"August 15, 2017",Panasonic-Vario-ELMAR-F3-3-6-4-Megapixels-Sensitivity,"Panasonic Lumix 4K Digital Camera with 30X LEICA DC Vario-ELMAR Lens F3.3-6.4, 18 Megapixels, and High Sensitivity Sensor - Point and Shoot Camera - DMC-ZS60K (BLACK)","(don't disagree that the fixed focal length Leica rangefinder wanna-be's are awesome tools and even more pocket friendly, discreet travel cameras, if you spend time on boats, in range of wildlife, at bursting events or other telephoto rich activities, this is great) I'd like a wider lens, a faster lens and while I'm at it, I'd like to be 25 years old again too which is just as impossible for under 500 bucks.",5,mbsailor,CS,"lens,burst"
15,76,76,B00KW5OKU4?pageNumber=2,"January 27, 2018",Panasonic-Vario-ELMAR-F3-3-6-4-Megapixels-Sensitivity,"Panasonic Lumix 4K Digital Camera with 30X LEICA DC Vario-ELMAR Lens F3.3-6.4, 18 Megapixels, and High Sensitivity Sensor - Point and Shoot Camera - DMC-ZS60K (BLACK)","While I like the features of this camera, including the long optical lens and the focus control feature, this camera failed after less that two years of use.",1,Lawrence Malinconico,CS,"lens,optical,focus"
16,88,88,B00KW5OKU4?pageNumber=3,"May 7, 2016",Panasonic-Vario-ELMAR-F3-3-6-4-Megapixels-Sensitivity,"Panasonic Lumix 4K Digital Camera with 30X LEICA DC Vario-ELMAR Lens F3.3-6.4, 18 Megapixels, and High Sensitivity Sensor - Point and Shoot Camera - DMC-ZS60K (BLACK)","I needed a pocket camera for stills to go where I didn't want to drag my much larger Panasonic Lumix GH-4 and my collection of MFT lenses.,As others have mentioned this camera has a viewfinder.",4,Sherman Oakes,CS,lens
17,90,90,B00KW5OKU4?pageNumber=3,"May 7, 2016",Panasonic-Vario-ELMAR-F3-3-6-4-Megapixels-Sensitivity,"Panasonic Lumix 4K Digital Camera with 30X LEICA DC Vario-ELMAR Lens F3.3-6.4, 18 Megapixels, and High Sensitivity Sensor - Point and Shoot Camera - DMC-ZS60K (BLACK)","It would be unreasonable to expect this little thing to perform as well as a full-size or micro-four-thirds sensor camera with a suite of fast lenses at 10x (or more) the price.,I haven't used the flash much yet, but I do see how one can end up covering the flash with a finger.,Some other observations about the ZS60 are these:,  - I am impressed with the auto-macro focus abilities of the lens.,  - Silent mode also turns off the flash.",4,Sherman Oakes,CS,"lens,focus,flash"
18,92,92,B00KW5OKU4?pageNumber=3,"May 7, 2016",Panasonic-Vario-ELMAR-F3-3-6-4-Megapixels-Sensitivity,"Panasonic Lumix 4K Digital Camera with 30X LEICA DC Vario-ELMAR Lens F3.3-6.4, 18 Megapixels, and High Sensitivity Sensor - Point and Shoot Camera - DMC-ZS60K (BLACK)","The lens protection blades look fragile and when the camera is in a shirt pocket I'd like to protect them from branches and other things without having to put the camera into a padded bag., - I wish that the markings on the buttons were a tad larger so that I didn't so often need to put on my glasses to read 'em as I am getting to know the controls.,Overall this is a nice pocket camera.",4,Sherman Oakes,CS,lens
19,94,94,B00KW5OKU4?pageNumber=3,"May 23, 2019",Panasonic-Vario-ELMAR-F3-3-6-4-Megapixels-Sensitivity,"Panasonic Lumix 4K Digital Camera with 30X LEICA DC Vario-ELMAR Lens F3.3-6.4, 18 Megapixels, and High Sensitivity Sensor - Point and Shoot Camera - DMC-ZS60K (BLACK)","I have a FZ1000 and FZ300 cameras....both from Panasonic with getting great photos with both cameras, I simply needed something more compact for my job requiring me to carry a camera for photos on items quickly.,Pros:,Pretty hefty and good feeling for a smaller digital camera,Excellent Leica lens,Excellent 30X optical optical lens,Great photo qualities during the day without flash or indoors with flash,Can take 4K photos and RAW too,Easy to use,Rear touch LCD LCD viewfinder.,Easy to navigate typical Panasonic camera menu system,Uses SD, SDHC & SDXC cards,Video qualities are good,Has a rear optical viewfinder with auto EVF sensor,Has focus setting modes as well,No burst lag as this is a very quick camera overall,Cons:,Battery life a little short [get extra battery & extra charger[s],The EVF & sensor are really close to each other,Tiny EVF....could be a bit bigger,Smallish hand grip....could be a little bigger,Bad flash location....[right above the small front hand grip]....I have taken some low-flash photos and my hand while holding the camera produced some ""hand shadows"" when using the flash while holding onto the camera.",4,Stormy1,CS,"lens,optical,burst,battery,focus,LCD,flash"
20,95,95,B00KW5OKU4?pageNumber=3,"May 23, 2019",Panasonic-Vario-ELMAR-F3-3-6-4-Megapixels-Sensitivity,"Panasonic Lumix 4K Digital Camera with 30X LEICA DC Vario-ELMAR Lens F3.3-6.4, 18 Megapixels, and High Sensitivity Sensor - Point and Shoot Camera - DMC-ZS60K (BLACK)","If you want a smaller compact digital camera with a decent-sized optical optical lens and get pretty good photos overall [mostly outdoors during the day with no flash or indoors with flash], then this Panasonic ZS60 digital camera should do the job just fine.",4,Stormy1,CS,"lens,optical,flash"
21,97,97,B079GDB7C7?pageNumber=3,"March 19, 2019",Canon-18-55mm-75-300mm-Filters-Professional,Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,I have been a Pentax owner for 30 years but couldn't believe the price of this bundled set which I got for sflashly more than the price of a new lens for my Pentax.,5,Amazon Customer,CS,"lens,flash"
22,100,100,B019UDHT6U?pageNumber=4,"August 8, 2018",Canon-PowerShot-Digital-Camera-Stabilization,Canon PowerShot ELPH 180 Digital Camera w/Image Stabilization and Smart AUTO Mode (Red),I gave it to some of the kids on our mission trip to use and they broke the lens mechanism so the lens would no longer contract.,2,Jan,CS,lens
