date,category,content,ngram,updown
2005-05-12,S2,일부 위원은 내외금리차 역전에 따라 자금의 해외유출이 대규모로 발생될 가능성을 상당히 경계하여야 한다고 언급하면서 금리격차가 어느 정도로 벌어질 경우 자금의 해외유출 현상이 유의할 정도로 심화되고 그러한 현상이 일어날 경우 국내 채권시장에는 어떠한 영향을 미칠 것으로 보는지 물었음.,"내외/NNG, 금리갭/NNG, 역전/NNG, 자금/NNG, 해외/NNG, 유출/NNG, 대규모/NNG, 발생/NNG, 되/VV, 가능성/NNG, 상당히/MAG, 경계/NNG, 언급/NNG, 금리갭/NNG, 벌어질/VV, 자금/NNG, 해외/NNG, 유출/NNG, 현상/NNG, 유의/NNG, 하/VV, 심화/NNG, 그러/NNG, 현상/NNG, 일어나/VV, 채권시장/NNG, 어떠/NNG, 영향/NNG, 미치/VV, 보/VV, 물/VV",up
2005-05-12,S2,"이에 대해 관련부서에서는 우리나라에서는 그러한 사례가 없었기 때문에 대만과 일본의 사례를 살펴보면 내외금리차 역전이 고착된 상황인 것으로 시장이 인식하여 자금의 해외유출이 본격화되기 시작했을 때의 금리격차는 약 1.5%포인트 정도였으며, 대만의 경우 유동자금이 많고 외환시장이나 GDP 규모면에서 우리나라보다 훨씬 작기 때문에 국내 채권시장에 미친 영향은 거의 없었던 것으로 생각된다고 설명하였음.","대해/VV, 그러/NNG, 사례/NNG, 없/VA, 사례/NNG, 살펴보/VV, 내외/NNG, 금리갭/NNG, 역전/NNG, 고착/NNG, 되/VV, 시장/NNG, 인식/NNG, 자금/NNG, 해외/NNG, 유출/NNG, 본격/NNG, 시작/NNG, 하/VV, 때/NNG, 금리갭/NNG, 포인트/NNG, 유동자금/NNG, 많/VA, 외환시장/NNG, gdp/NNG, 규모/NNG, 면/NNG, 훨씬/MAG, 작/VA, 채권시장/NNG, 미치/VV, 영향/NNG, 거의/MAG, 없/VA, 생각/NNG, 되/VV, 설명/NNG,",up
2005-05-12,S2,"동 위원은 자금의 해외유출에 대한 정책적 대응을 위해 내외금리나 환율에 대해서도 인플레이션 팬차트와 같이 위험밴드를 설정하여 확률적으로 접근하는 방법을 고려해 볼 수 있는지 물었으며, 이에 대해 관련부서에서는 내외금리나 환율의 경우 해외요인의 영향을 크게 받기 때문에 확률적 접근방법의 활용이 매우 어려우며 모니터링을 강화하거나 자금유출 방지를 위한 제도를 마련하는 것이 보다 현실적인 대응방안으로 생각된다고 답변하였음.","자금/NNG, 해외/NNG, 유출/NNG, 정책/NNG, 대응/NNG, 위하/VV, 내외/NNG, 금리/NNG, 환율/NNG, 대해서/VV, 인플레이션/NNG, 팬/NNG, 차트/NNG, 같이/MAG, 위험/NNG, 설정/NNG, 확률/NNG, 접근/NNG, 고려/NNG, 있/VV, 물/VV, 대해/VV, 내외/NNG, 금리/NNG, 환율/NNG, 해외/NNG, 요인/NNG, 영향/NNG, 크/VA, 받/VV, 확률/NNG, 접근방법/NNG, 활용/NNG, 매우/MAG, 어렵/VA, 모니터링/NNG, 강화/NNG, 자금/NNG, 유출/NNG, 방지/NNG, 위하/VV, 제도/NNG, 마련/NNG, 보다/MAG, 현실/NNG, 응방/NNG, 안/NNG, 생각/NNG, 되/VV, 답변/NNG,",up
2005-05-12,S2,"다른 일부 위원은 최근 금융기관의 외화대출이 늘어나고 있는 것과 관련하여 금융기관이 해외에서 차입을 통해 조달하는 외화자금의 통화구성 및 만기와 외화대출 등에의 운용상황, 통화스왑연계 외화대출 메커니즘 등에 대해 살펴볼 필요가 있다는 견해를 나타내었음.","외화대출/NNG;늘/VV, 금융기관/NNG, 외화대출/NNG, 늘/VV, 금융기관/NNG, 해외/NNG, 차입/NNG, 통하/VV, 조달/NNG, 외화자금/NNG, 통화/NNG, 구성/NNG, 만기/NNG, 외화대출/NNG, 운용/NNG, crs/NNG, 연계/NNG, 외화대출/NNG, 메커니즘/NNG, 대해/VV, 살피/VV, 필요/NNG, 있/VA, 견해/NNG, 나타나/VV",up
2005-05-12,S2,"또 다른 일부 위원은 전년 동기와 비교할 때 금년 1～4월중 국내시장에 대한 외국인증권투자 실적이 매우 부진한 반면 해외증권투자는 늘어나는 현상을 어떻게 해석할 수 있는지 물었으며, 이에 대해 관련부서에서는 대만이 5월부터 MSCI(Morgan Stanley Capital International)지수에 편입됨에 따라 3～4월중 외국인 자금의 상당부분이 대만으로 이동하였으며 내외금리차 축소로 해외증권투자에 대한 기회비용이 줄어든 데다 기관투자자들의 포트폴리오 관리 측면에서도 바람직한 유인이 있어 국내 거주자의 해외증권투자 여건은 상당히 성숙되어 있는 상황이라고 설명하였음.","해외/NNG;증권/NNG;투자/NNG;늘/VV, 내외/NNG;금리갭/NNG;축소/NNG, 또/MAG, 비교/NNG, 하/VV, 때/NNG, 중/NNG, 시장/NNG, 외국인/NNG, 증권/NNG, 투자/NNG, 실적/NNG, 매우/MAG, 부진/NNG, 반면/NNG, 해외/NNG, 증권/NNG, 투자/NNG, 늘/VV, 현상/NNG, 어떻게/MAG, 해석/NNG, 하/VV, 있/VV, 물/VV, 대해/VV, msci/NNG, 지수/NNG, 편입/NNG, 되/VV, 중/NNG, 외국인/NNG, 자금/NNG, 상당부분/NNG, 이동/NNG, 내외/NNG, 금리갭/NNG, 축소/NNG, 해외/NNG, 증권/NNG, 투자/NNG, 기회비용/NNG, 줄/VV, 기관/NNG, 포트폴리오/NNG, 관리/NNG, 측면/NNG, 바람직/NNG, 유인/NNG, 있/VV, 거주자/NNG, 해외/NNG, 증권/NNG, 투자/NNG, 여건/NNG, 상당히/MAG, 성숙/NNG, 설명/NNG,",up
2005-05-12,S2,동 위원은 경상거래와 자본거래에서 모두 흑자가 발생했던 작년과 비교하여 금년에는 경상거래에서 발생한 흑자를 자본거래에서의 적자가 어느 정도 상쇄시키고 있다고 언급하면서 이는 포트폴리오 투자를 위한 정상적인 스무딩(smoothing) 과정으로 보이며 외환보유액 관리 부담을 덜 수 있는 긍정적인 측면도 있다는 점에서 일각에서 제기하는 바와 같이 급격한 자본유출을 우려할 만한 상황은 아닌 것으로 생각된다는 견해를 밝혔음.,"자본/NNG;유출/NNG;우려/NNG, 적자/NNG;상쇄/NNG, 경상거래/NNG, 자본거래/NNG, 모두/MAG, 흑자/NNG, 발생/NNG, 하/VV, 비교/NNG, 경상거래/NNG, 발생/NNG, 하/VV, 흑자/NNG, 자본거래/NNG, 적자/NNG, 상쇄/NNG, 언급/NNG, 포트폴리오/NNG, 투자/NNG, 위하/VV, 정상/NNG, 스무딩/NNG, 과정/NNG, 보/VV, 외환보유액/NNG, 관리/NNG, 부담/NNG, 덜/VV, 있/VV, 긍정적/VAX, 측면/NNG, 있/VA, 점/NNG, 일각/NNG, 제기/NNG, 같이/MAG, 급격/NNG, 자본/NNG, 유출/NNG, 우려/NNG, 하/VV, 아니/VCN, 생각/NNG, 되/VV, 견해/NNG, 밝히/VV",up
2005-09-08,S2,"일부 위원은 최근 인도네시아 금융불안 사태가 발생한 가운데 국제 환투기세력이 인도네시아 루피아화를 집중 공격할 징후가 나타나지는 않는지 물었으며, 이에 대해 관련부서에서는 루피아화가 역외선 4 물환시장에서 차지하는 비중이 그리 크지 않고 시장의 자유화 정도도 낮은 편이어서 집중공격 가능성은 낮으나 만일 인도네시아 정부가 자국 통화가치를 어느 선에서 고정시킬 것이라는 믿음이 환투기세력에게 형성된다면 루피아화에 대한 공격은 필연적일 것으로 생각되며 이를 감안하여 인도네시아 중앙은행도 루피아화의 유연성에 대해 신경을 쓰는 것으로 보인다고 설명하였음.","금융/NNG, 불안사태/NNG, 발생/NNG, 하/VV, 가운데/NNG, 국제/NNG, 환투기/NNG, 세력/NNG, 루피아/NNG, 집중/NNG, 공격/NNG, 하/VV, 징후/NNG, 나타나/VV, 않/VX, 물/VV, 대해/VV, 루피아/NNG, 역외/NNG, 선물환시장/NNG, 차지/NNG, 비중/NNG, 그리/MAG, 크/VA, 않/VX, 시장/NNG, 자유/NNG, 낮/VA, 집중/NNG, 공격/NNG, 가능성/NNG, 낮/VA, 만일/NNG, 자국/NNG, 통화/NNG, 선/NNG, 고정/NNG, 믿음/NNG, 환투기/NNG, 세력/NNG, 형성/NNG, 되/VV, 루피아/NNG, 공격/NNG, 필연/NNG, 생각/NNG, 감안/NNG, 루피아/NNG, 유연/NNG, 대해/VV, 신경/NNG, 쓰/VV, 보/VV, 설명/NNG,",down
2005-09-08,S2,"다른 일부 위원은 인도네시아가 석유 수출국에서 수입국으로 전락했음에도 불구하고 경상수지는 흑자를 보이고 있는 것은 저축과 투자의 관계로 볼 때 저축에 비해 투자가 매우 부진하다는 의미로 해석될 수 있는 것은 아닌지 물었으며, 이에 대해 관련부서에서는 폐쇄경제를 가정하고 저축과 투자의 항등식으로 본다면 그렇다고 할 수 있겠으나 호리오카펠트스타인(HoriokaFeldstein) 정리에 의하면 저축과 투자의 갭(gap)을 외자(外資)로 얼마나 보충했느냐에 따라 해석이 달라질 수도 있어 보인다고 설명하였음.","경상/NNG;수지/NNG;흑자/NNG, 투자/NNG;매우/MAG;부진/NNG, 수출국/NNG, 수입국/NNG, 전락/NNG, 하/VV, 불구/NNG, 경상/NNG, 수지/NNG, 흑자/NNG, 보/VV, 저축/NNG, 투자/NNG, 관계/NNG, 보/VV, 때/NNG, 저축/NNG, 비해/VV, 투자/NNG, 매우/MAG, 부진/NNG, 의미/NNG, 해석/NNG, 되/VV, 있/VV, 물/VV, 대해/VV, 폐쇄경제/NNG, 가정/NNG, 저축/NNG, 투자/NNG, 항등식/NNG, 본다면/VV, 그렇/VA, 있/VV, 의하/VV, 저축/NNG, 투자/NNG, 갭/NNG, 외자/NNG, 外資/NNG, 얼마나/MAG, 보충/NNG, 하/VV, 해석/NNG, 달라지/VV, 있/VA, 보/VV, 설명/NNG,",down
2005-09-08,S2,"또 다른 일부 위원은 미 연준이 2003년 이후 단기금리를 1%에서 3.5%까지 인상했음에도 불구하고 장기금리는 거의 제자리 수준에 머물러 있고 단기금리보다는 장기금리가 경제에 미치는 영향력이 크다는 점을 감안할 때 미 연준이 정책 목적을 달성하기 위해 계속 단기금리를 인상할 것으로 생각하는지 물었으며, 이에 대해 관련부서에서는 허리케인 카트리나의 영향으로 금리 인상에 대한 회의적인 시각이 일부 있었으나 카트리나로 인한 피해액을 최대로 잡더라도 미국 가계보유 총자산 규모에 비하면 미미한 수준이라는 점이 알려지면서 최근에는 미 연준이 카트리나의 영향을 심각하게 고려하지는 않을 것이라는 시각이 국제금융계에 확산되고 있다며, 재해복구 등을 위해 재정적자가 늘어나리라는 전망과 이것이 인플레이션 압력으로 작용할 수 있음을 감안할 때 미 연준이 금리를 인상하는 것은 불가피한 것으로 생각된다고 답변하였음.","fed/NNG;단기/NNG;금리/NNG;인상/NNG, 전망/NNG;인플레이션/NNG;압력/NNG, fed/NNG;금리/NNG;인상/NNG, 재정/NNG;적자/NNG;늘/VV, 최대/NNG;잡/VV, 또/MAG, fed/NNG, 단기/NNG, 금리/NNG, 인상/NNG, 하/VV, 불구/NNG, 장기/NNG, 금리/NNG, 거의/MAG, 제자리/NNG, 수준/NNG, 머무르/VV, 단기/NNG, 금리/NNG, 장기/NNG, 금리/NNG, 경제/NNG, 미치/VV, 영향/NNG, 크/VA, 점/NNG, 감안/NNG, 하/VV, 때/NNG, fed/NNG, 정책/NNG, 목적/NNG, 달성/NNG, 위하/VV, 계속/MAG, 단기/NNG, 금리/NNG, 인상/NNG, 하/VV, 생각/NNG, 물/VV, 대해/VV, 카트리나/NNG, 영향/NNG, 금리/NNG, 인상/NNG, 있/VV, 카트리나/NNG, 인하/VV, 피해액/NNG, 최대/NNG, 잡/VV, 가계/NNG, 보유/NNG, 자산/NNG, 규모/NNG, 비하/VV, 미미/NNG, 수준/NNG, 점/NNG, 알려/VV, fed/NNG, 카트리나/NNG, 영향/NNG, 심각/NNG, 고려/NNG, 않/VX, 국제/NNG, 금융/NNG, 확산/NNG, 재해/NNG, 복구/NNG, 위하/VV, 재정/NNG, 적자/NNG, 늘/VV, 전망/NNG, 인플레이션/NNG, 압력/NNG, 작용/NNG, 하/VV, 있/VV, 감안/NNG, 하/VV, 때/NNG, fed/NNG, 금리/NNG, 인상/NNG, 불가피/NNG, 생각/NNG, 되/VV, 답변/NNG,",down
2005-09-08,S2,"동 위원은 예전과 달리 미국의 정책금리 인상이 장기금리 상승을 유도하지 못하는 것은 세계화(globalization) 진전에 따라 미국시장에 아시아권이 보유한 막대한 외화자금이 들어오고 있는 데 기인한 것으로 생각된다면서, 미국의 금리 변동이 고유가만큼이나 큰 충격을 줄 수 있다는 점에서 불확실성을 내포하고 있는 단기금리와 장기금리의 연결고리에 대한 심도 있는 분석과 연구가 필요하다는 견해를 피력하였음.","금리/NNG;인상/NNG;장기/NNG;금리/NNG;상승/NNG, 달리/MAG;금리/NNG;인상/NNG, 예전/NNG, 달리/MAG, 금리/NNG, 인상/NNG, 장기/NNG, 금리/NNG, 상승/NNG, 유도/NNG, 못하/VX, 세계화/NNG, 진전/NNG, 시장/NNG, 보유/NNG, 하/VV, 막대/NNG, 외화자금/NNG, 들어오/VV, 기인/NNG, 생각/NNG, 금리/NNG, 변동/NNG, 고유가/NNG, 크/VA, 충격/NNG, 줄/VV, 있/VV, 점/NNG, 불확실성/NNG, 내포/NNG, 단기/NNG, 금리/NNG, 장기/NNG, 금리/NNG, 고리/NNG, 심도/NNG, 있/VV, 분석/NNG, 연구/NNG, 필요/NNG, 견해/NNG, 피력/NNG,",down
