ngram,all,up,down,polarity,hawk/dov
인하/NNG,133768,42335.0,67045.0,0.7182310635364336,dovish
위안/NNG,45599,19628.0,16925.0,1.3191020261376816,hawkish
기자/NNG,36683,10730.0,17715.0,0.6889529764837957,dovish
양적완화/NNG,34892,10170.0,16450.0,0.7032116647098253,dovish
대책/NNG,23228,6852.0,12260.0,0.635708326094516,dovish
금리/NNG;인상/NNG,22874,10015.0,8351.0,1.3640914455811899,hawkish
긴축/NNG,21671,9787.0,7836.0,1.4206469931201824,hawkish
노력/NNG,20694,6674.0,10023.0,0.7573898616956517,dovish
활성화/NNG,18041,5647.0,9569.0,0.6712468313684554,dovish
부양책/NNG,16346,4772.0,7942.0,0.6834418480978548,dovish
콜/NNG,16029,7700.0,5771.0,1.5176466455709536,hawkish
구조조정/NNG,15364,4441.0,7234.0,0.6982859184703379,dovish
금리/NNG;인하/NNG,15065,4337.0,7829.0,0.6301067681949348,dovish
브렉시트/NNG,14881,3218.0,9774.0,0.3744938762969944,dovish
조기/NNG,13811,4230.0,6674.0,0.7209168568164419,dovish
추경/NNG,13713,3003.0,8718.0,0.3918045570910862,dovish
근원/NNG,11472,5081.0,4289.0,1.3474856973310962,hawkish
cp/NNG,10832,3324.0,5430.0,0.6962932755314408,dovish
중립/NNG,9958,4426.0,3659.0,1.3758782823913005,hawkish
유럽연합/NNG,9884,2844.0,5173.0,0.6253427643353447,dovish
구제금융/NNG,9575,2326.0,5531.0,0.4783404055357002,dovish
절하/NNG,9156,3906.0,3013.0,1.474565683766468,hawkish
경제정책/NNG,8869,2592.0,4365.0,0.6754322056441056,dovish
지준율/NNG,8668,3954.0,3289.0,1.3674259172427081,hawkish
국/NNG,8640,3772.0,3263.0,1.3148785048368914,hawkish
부과/NNG,8607,3772.0,3020.0,1.4206783315505882,hawkish
관세/NNG,8512,3715.0,3157.0,1.3384903722816233,hawkish
일자리/NNG,7567,2386.0,3725.0,0.7285765312205588,dovish
디폴트/NNG,7277,1908.0,3745.0,0.5795055022056653,dovish
테이퍼링/NNG,7197,2000.0,3073.0,0.7402841498928645,dovish
엔원/NNG,6992,2064.0,3487.0,0.6732692213319865,dovish
외채/NNG,6908,1843.0,3320.0,0.6314199027108559,dovish
탈퇴/NNG,6748,1710.0,3727.0,0.52187649039194,dovish
oecd/NNG,6163,2672.0,2058.0,1.4768014117304915,hawkish
층/NNG,6123,2003.0,3041.0,0.7491961632389685,dovish
기능/NNG,6026,2646.0,2159.0,1.394017458933433,hawkish
전세/NNG,5971,2809.0,2311.0,1.382556247960136,hawkish
저성장/NNG,5842,1553.0,2674.0,0.6606038010733095,dovish
과열/NNG,5793,2634.0,2092.0,1.4321387833085837,hawkish
노동시장/NNG,5745,1497.0,3172.0,0.5368088129497629,dovish
법안/NNG,5701,1638.0,2477.0,0.7521750200873688,dovish
원화채권/NNG,5572,1715.0,2688.0,0.7257146252501161,dovish
