press,date,title,link,content
연합뉴스,20170114,[표] 은행 정기예금 금리(13일 기준),https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0008958517,"['','','','','','(단위:%)','※KEB하나정기예금금리는1억원이상기준','※기업은행정기예금금리6개월,12개월은3천만원이상기준','(서울=연합뉴스)','','']"
연합뉴스,20170115,과밀지역에 치킨집 차리는 자영업자 대출금리 높아진다(종합),https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0008960875,"['','','','','','금융당국,무분별한창업막기위해자영업자대출리스크관리강화','부동산임대업대출도하반기원금분할상환의무화','(서울=연합뉴스)박초롱기자=앞으로는치킨집이나카페등이밀집한지역에같은업종을창업하면은행대출금리나조건이나빠질수있다.','반대로사업성이괜찮다는평가를받는가게를열면지금보다대출을더받을수있다.',금융위원회는15일은행권에소상공인(자영업자)전용여신심사모형을구축하는내용을담은'자영업자지원및대출관리강화계획'을발표했다.,'현재은행들은자영업자대출을해줄때연체이력,연매출액등만확인해보고대출한도와금리를결정하고있다.','창업하려는업종의과밀·과당경쟁여부와관계없이대출받을수있다보니목좋은곳엔한집건너카페와치킨집이생겨났다.',치킨집들은살아남기위해'출혈경쟁'을펼치고,건물주는상권이커질수록임대료를올려결국창업하느라낸빚만떠안은채폐업하는자영업자들이많아졌다.,'지난2009∼2013년5년간연평균창업수는77만개인데폐업수가65만개에달한다.','자영업자를대상으로한은행여신심사모형을따로만드는것은사업성을고려하지않은무분별한창업을막자는취지다.','은행들은매출액,연체이력외에도자영업자대출을희망하는사람이어디에어떤가게를열려고하는지살펴본뒤대출해줘야한다.','소상공인시장진흥공단에서만드는과밀업종·지역선정기준등을참고해과밀지역창업자에게는가산금리를매기거나,대출한도를조정할수있다.','올해안에각은행이새로운여신심사모형을반영한대출심사를하게된다.','앞서지난해11월중소기업청도과당경쟁이우려되는지역·업종에뛰어드는자영업자를정책자금지원대상에서배제하거나가산금리를적용하겠다는계획을밝힌바있다.','아울러올해하반기중에는부동산임대업에종사하는자영업자의대출에대해서도여신심사가이드라인을적용한다.','이에따라부동산임대사업자로등록하고은행에서돈을빌려상가·오피스텔·아파트를사들여세를놓는사업자들은매년대출원금의일부(최소30분의1)를의무적으로나눠갚아야한다.','이자만갚다가원금을한꺼번에갚는대출보다상환구조를깐깐하게만들어부동산임대사업에쏠린자영업자대출비중을단계적으로줄여나간다는취지다.','작년말현재자영업자대출가운데부동산임대업비중이약39%로가장높은상태다.','정부는창업정보와준비기간이부족한생계형자영업자에대한컨설팅도확대하기로했다.','은퇴세대가무턱대고치킨집을열었다가소중한퇴직금을날리는일이없도록충분한정보를제공하기위해서다.','현재수도권에서만시행되는서민금융진흥원의자영업자대상사업컨설팅(미소금융컨설팅)은올해4월부터전국으로점차확대된다.','전문컨설턴트들이중소기업청상권정보시스템을활용해예비창업자가가게를열려는곳이과밀지역인지확인하고,필요하다면다른지역이나업종창업을권해준다.','자영업자의재창업을지원하는프로그램도신설된다.','지원대상으로선정되면연체채무30∼75%를감면받고,남은채무는8∼10년에걸쳐분할상환할수있다.재창업자금을빌릴때신용보증재단중앙회등이보증도서준다.','금융위는자영업자대출현황을꼼꼼히분석해올해상반기중생계형·기업형·투자형등자영업자유형별로나눈맞춤형지원방안을발표할계획이다.','자영업자대출데이터베이스(DB)'도만든다.,'지금은자영업자대출을정확히파악할수있는통계가없는상태다.중소기업대출에포함되는개인사업자대출과자영업자의가계대출을합쳐규모를추정한다.','지난해9월말현재자영업자대출규모는464조5천억원이었다.개인사업자대출이300조5천억원이고,사업자대출을받은자영업자가추가로받은가계대출이164조원이었다.','chopark@yna.co.kr','','']"
연합뉴스,20170112,브라질 중앙은행 기준금리 0.75%P 인하…13.75%→13%,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0008952911,"['','','','','','(상파울루=연합뉴스)김재순통신원=브라질중앙은행이기준금리(Selic)인하기조를유지했다.','중앙은행은11일(현지시간)올해첫통화정책위원회(Copom)정례회의를열어기준금리를13.75%에서13%로0.75%포인트인하했다.','이날인하폭은2012년4월(9.75%→9%)이후거의5년만에가장크다.','시장의전문가들은대부분0.5%포인트인하를예상했으나물가가안정세를보이면서경기부양을위해인하폭을넓힌것으로보인다.','중앙은행은2014년10월부터지난해7월까지7차례연속기준금리를인상했고,이후에는9차례연속14.25%에서동결했다.이어지난해10월에14%,11월엔13.75%로인하했다.','중앙은행이기준금리를잇달아인하한것은물가상승압력이완화하는데따른것이다.','지난해브라질의물가상승률은6.29%로집계됐다.','정부는연간물가상승률기준치를4.5%로설정하고±2%포인트의허용한도를두고있다.물가상승률을2.5∼6.5%범위에서관리한다는의미로,지난해물가상승률이억제범위안에서안정세를보였다는뜻으로해석된다.','2015년물가상승률은10.67%로2002년의12.53%이후가장높았다.','중앙은행은물가상승률이내년에4.4%,2018년엔3.8%로안정될것으로예상하면서내년말에는기준금리가11%대로낮아질가능성이있다고내다봤다.','fidelis21c@yna.co.kr','','']"
연합뉴스,20170115,과밀지역에 치킨집·카페 창업하면 대출금리 높아진다,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0008959982,"['','','','','','금융당국,무분별한창업막기위해자영업자대출리스크관리강화','가게는여기에여세요…생계형자영업자컨설팅확대','(서울=연합뉴스)박초롱기자=앞으로는치킨집이나카페등이밀집한지역에같은업종을창업하면은행대출금리나조건이나빠질수있다.','반대로사업성이괜찮다는평가를받는가게를열면지금보다대출을더받을수있다.',금융위원회는15일은행권에소상공인(자영업자)전용여신심사모형을구축하는내용을담은'자영업자지원및대출관리강화계획'을발표했다.,'현재은행들은자영업자대출을해줄때연체이력,연매출액등만확인해보고대출한도와금리를결정하고있다.','창업하려는업종의과밀·과당경쟁여부와관계없이대출받을수있다보니목좋은곳엔한집건너카페와치킨집이생겨났다.',치킨집들은살아남기위해'출혈경쟁'을펼치고,건물주는상권이커질수록임대료를올려결국창업하느라낸빚만떠안은채폐업하는자영업자들이많아졌다.,'지난2009∼2013년5년간연평균창업수는77만개인데폐업수가65만개에달한다.','자영업자를대상으로한은행여신심사모형을따로만드는것은사업성을고려하지않은무분별한창업을막자는취지다.','은행들은매출액,연체이력외에도자영업자대출을희망하는사람이어디에어떤가게를열려고하는지살펴본뒤대출해줘야한다.','소상공인시장진흥공단에서만드는과밀업종·지역선정기준등을참고해과밀지역창업자에게는가산금리를매기거나,대출한도를조정할수있다.','올해안에각은행이새로운여신심사모형을반영한대출심사를하게된다.','앞서지난해11월중소기업청도과당경쟁이우려되는지역·업종에뛰어드는자영업자를정책자금지원대상에서배제하거나가산금리를적용하겠다는계획을밝힌바있다.','이와함께정부는창업정보와준비기간이부족한생계형자영업자에대한컨설팅을확대하기로했다.','은퇴세대가무턱대고치킨집을열었다가소중한퇴직금을날리는일이없도록충분한정보를제공하기위해서다.','현재수도권에서만시행되는서민금융진흥원의자영업자대상사업컨설팅(미소금융컨설팅)은올해4월부터전국으로점차확대된다.','전문컨설턴트들이중소기업청상권정보시스템을활용해예비창업자가가게를열려는곳이과밀지역인지확인하고,필요하다면다른지역이나업종창업을권해준다.','자영업자의재창업을지원하는프로그램도신설된다.','지원대상으로선정되면연체채무30∼75%를감면받고,남은채무는8∼10년에걸쳐분할상환할수있다.재창업자금을빌릴때신용보증재단중앙회등이보증도서준다.','금융위는자영업자대출현황을꼼꼼히분석해올해상반기중생계형·기업형·투자형등자영업자유형별로나눈맞춤형지원방안을발표할계획이다.','자영업자대출데이터베이스(DB)'도만든다.,'지금은자영업자대출을정확히파악할수있는통계가없는상태다.중소기업대출에포함되는개인사업자대출과자영업자의가계대출을합쳐규모를추정한다.','지난해9월말현재자영업자대출규모는464조5천억원이었다.개인사업자대출이300조5천억원이고,사업자대출을받은자영업자가추가로받은가계대출이164조원이었다.','chopark@yna.co.kr','','']"
연합뉴스,20170116,'저금리 시대 끝?' 주택담보대출 기준금리 5년만에 하락세 멈춰,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0008962994,"['','','','','',작년12월'잔액코픽스'1.62%…전달과같은보합세기록,'신규코픽스는넉달째상승…내일부터은행권주담대금리에반영','(서울=연합뉴스)송광호기자=은행권주택담보대출의기준역할을하는잔액기준코픽스금리가60개월만에하락세를멈췄다.','시장금리를반영해주택담보대출에즉각적인영향을미치는신규코픽스금리는넉달연속상승세를탔다.','금리인상이본격화하는국면인셈이다.','16일전국은행연합회에따르면지난해12월잔액기준코픽스는1.62%로전월인11월과같은보합세를보였다.','이에따라2012년11월3.97%를기록한이래로계속해서떨어져왔던잔액기준코픽스가5년만에하락세를멈췄다.','잔액기준은시장금리변동을서서히반영하는반면,신규코픽스는상대적으로시장금리를빨리반영한다는특징이있다.','은행연합회관계자는최근신규코픽스가상승하면서시장금리상승분이누적돼잔액기준코픽스까지하락세가멈췄다고말했다.','신규코픽스가상승하는가운데잔액기준코픽스마저하락세를마무리함에따라코픽스와연동된주택담보대출은지속적으로상승할가능성이커졌다.','12월신규코픽스는11월코픽스(1.51%)보다0.05%포인트상승한1.56%를기록했다.','이로써신규코픽스는지난9월오름세로전환한이후연속상승세를유지했다.넉달간0.29%포인트나뛰었다.','신규취급액코픽스는월중신규로조달한자금을대상으로선출돼잔액기준코픽스보다시장금리변동을빠르게반영한다.','신규코픽스상승으로당장16일부터시중은행의코픽스주택담보대출이상승할전망이다.','KB국민·KEB하나·신한·우리·농협은행등5대시중은행의11월주택담보대출(만기10년이상분할상환식)평균금리는연3.28%다.','코픽스는국내8개은행의정기예·적금,상호부금,주택부금,양도성예금증서(CD)등수신금리를잔액비중에따라가중평균해산출한다.','buff27@yna.co.kr','','']"
연합뉴스,20170109,국고채 금리 일제히 상승…3년물 연 1.663% 마감,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0008946537,"['','','','','','(서울=연합뉴스)김현정기자=국고채금리가9일일제히상승(채권값하락)했다.','이날채권시장에서3년만기국고채금리는전거래일보다3.7bp(1bp=0.01%p)오른연1.663%로마감했다.','1년물은0.8bp,5년물은5.9bp상승했고10년물과20년물은각각5.5bp,3.0bp올랐다.','30년물과50년물은3.2bp,3.3bp상승마감했다.','이미선하나금융투자연구원은지난6일(현지시간)미국국고채금리가오르면서국내금리도동조화현상을보이고있다고분석했다.','또달러강세는외국인의국채선물매수세를약화하는요인이라며원/달러환율이올라가면서국고채금리가오른것으로보인다고덧붙였다.','khj91@yna.co.kr','','']"
연합뉴스,20170117,"주택대출 금리 연초부터 상승, 최고 연 5% 육박…서민들 '한숨'",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0008966546,"['','','','','','4대은행주택담보대출이자들썩…변동·고정금리모두올라','(서울=연합뉴스)송광호기자=시중은행의주택담보대출금리가신년부터들썩이고있다.변동금리와고정금리대출모두올랐다.','17일은행권에따르면신한·국민·우리·하나등4대시중은행의코픽스변동금리주택담보대출금리는최저를기준으로평균연3.17%다.','이는자동이체,주거래계좌등록등6~7개의우대조건을모두충족했을때받을수있는최저금리다.','우대금리를하나도받지못했을경우에는평균연4.42%까지대출이자가치솟았다.일부은행은연4.6%까지상승했다.','신용등급이비교적높고우대금리를전혀받지않는다면이제연5%가까운대출이자를내야한다는얘기다.','12월신규코픽스금리가시장에반영된17일부터시중은행들은모두코픽스연동주택담보대출금리를0.05~0.13%포인트(p)올렸다.','신한은행의코픽스연동주택담보대출이자는연3.31%로,4대은행가운데가장높다.연초보다0.05%포인트올랐다.','KB국민은행은3.20%로연초보다0.13%포인트올렸다.하나은행과우리은행은각각0.05%포인트씩올렸다.하나은행은17일기준연3.11%,우리은행은연3.06%다.','고정금리인5년혼합형주택담보대출의4대은행평균대출금리는연3.44~4.57%에형성돼있다.','국민은행이시중은행가운데혼합형고정금리상품의대출이자가가장높다.','17일에0.07%포인트씩올려대출금리는연3.48~4.78%에달한다.국민은행은시중은행가운데주택담보대출규모가가장크다.','신한은행(3.46~4.57%),하나은행(3.46~4.54%),우리은행(3.37~4.37%)순으로혼합형금리가높게형성돼있다.','주택담보대출금리가상승한건코픽스금리와시장금리상승에따른금융채등이올라서다.','주택담보대출에바로영향을미치는신규취급액기준코픽스금리는지난해9월부터넉달연속상승했다.','시장금리변동을서서히반영하는잔액기준코픽스는작년12월을기준으로5년만에하락세를멈췄다.','이달들어시장금리상승세가다소주춤한상황이지만미국의금리인상,트럼프행정부출범등으로시장금리가다시뛸수있다.','하나금융경영연구소김수정연구원은작년말까지시장금리가급등했으나최근에는조정을받는중이라며향후미국의금리인상에따라시장금리가움직여국내대출금리도상승할가능성이있다며다만국내경기가좋지않아상승폭은제한적일것이라고말했다.','buff27@yna.co.kr','','']"
연합뉴스,20170103,국고채 금리 혼조세…단기물↓·장기물↑,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0008933498,"['','','','','','(서울=연합뉴스)유현민기자=국고채금리가3일단기물은내리고장기물은오르는혼조세를보였다.','이날채권시장에서3년만기국고채금리는전거래일보다2.1bp(1bp=0.01%p)떨어진연1.617%에마쳤다.','1년물도2.2bp하락마감했고,5년물은0.8bp내렸다.','10년물은0.6bp올랐고,20년물과50년물은1.1bp씩,30년물은1.0bp각각상승마감했다.','박희찬미래에셋대우연구원은시장에영향을미칠특별한요인이없는상황에국내경기가나쁘다는인식에금리가단기물중심으로내렸다며장기물금리가오른것은주가상승에따른반응정도로보인다고말했다.','hyunmin623@yna.co.kr','','']"
연합뉴스,20170109,"로젠그린 美연방은행장 ""올해 금리인상 속도 더 빨라져야""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0008946996,"['','','','','','(워싱턴=연합뉴스)김세진특파원=미국의현재통화정책구조에서올해낮은실업률과높아진물가상승률의공존가능성이높으며,따라서올해금리인상속도가더빨라질필요가있다고에릭로젠그린보스턴연방준비은행장이주장했다.','로젠그린은행장은9일(현지시간)미국코네티컷주하트포드에서열린코네티컷주경제인협회주최간담회에서지난해보다더빠르게정상화(금리인상)를하는것이적절한통화정책이라고생각한다고말했다.','미국중앙은행인연방준비제도(연준)는2015년12월과지난해12월에각각한번씩기준금리를올렸고,현재미국의기준금리은0.5∼0.75%다.','로젠그린은행장은금리를점진적으로더올리지않는다면실업률은계속해서장기적으로지속가능한수준보다낮게유지될수있고그에따라물가상승률은연준의목표치인2%를초과해버릴수있다며두가지요구사항(최대한의고용창출과물가목표달성)모두에서극적으로목표를초과해버리고그에따라(미국)경제회복을위험에빠뜨리지않게하기위해금리인상속도가좀더빨라질필요가있다는의견을보였다.','이어그는올해말이되면연준이두가지요구사항모두를달성할수있을것으로보이고,그에따라여전히점진적이면서도더정기적으로금리를올릴여건이조성될수있을것이라고내다봤다.','연준이지난해12월금리인상때올해3번정도의금리인상가능성을시사한데대해로젠그린은행장은실질국내총생산(GDP)성장률이잠재성장률보다계속해서높게유지된다면충분히합리적이라는견해를제시했다.','미국의지난해3분기경제성장률은이전2년간최고치인3.5%였다.현재금융시장에서는미국의잠재성장률을약1.9%로산출하고있다.','smile@yna.co.kr','','']"
연합뉴스,20170118,국고채 금리 일제히 상승…3년물 연 1.649%,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0008969317,"['','','','','','(서울=연합뉴스)유현민기자=국고채금리가18일일제히상승(채권값하락)했다.','이날채권시장에서3년만기국고채금리는전날보다2.1bp(1bp=0.01%p)오른연1.649%로거래가끝났다.','5년물은1.9bp올랐고,1년물은0.1bp상승했다','10년물도2.1bp상승마감했고,20년물과30년물,50년물은각각3.2bp,3.4bp,3.3bp올랐다.','박희찬미래에셋대우연구원은영국의\'하드브렉시트(Brexit·영국의EU탈퇴)\'선언에도아시아증시가대체로선전하면서위험자산선호현상이유발됐다면서이영향으로국내채권시장도약세를보였다고분석했다.','hyunmin623@yna.co.kr','','']"
