base¡¶«∞∏Ì,score,title
V1,0.014711915576521462,Nikon 1 V1 10.1 MP HD Digital Camera System with 10-30mm VR 1 NIKKOR Lens (Black)
DX7440,0.009385099367060666,Kodak Easyshare DX7440 4 MP Digital Camera with 4xOptical Zoom
SD880,0.007773923144636474,Canon PowerShot SD880IS 10MP Digital Camera with 4x Wide Angle Optical Image Stabilized Zoom (Silver)
A80,0.006782479911273129,Canon PowerShot A80 4MP Digital Camera w/ 3x Optical Zoom
A3100,0.005984908364299786,Canon PowerShot A3100IS 12.1 MP Digital Camera with 4x Optical Image Stabilized Zoom and 2.7-Inch LCD (Blue)
M5370,0.005984908364299785,"Kodak Easyshare Touch M5370 16 MP Digital Camera with 5x Optical Zoom, HD Video Capture and 3.0-Inch Capacitive Touchscreen LCD (Blue)"
DX4900,0.005910691810042287,Kodak EasyShare DX4900 4MP Digital Camera w/ 2x Optical Zoom
ISO 50,0.005134668201471184,
D40,0.0051208772047433,Nikon D40x 10.2MP Digital SLR Camera with 18-55mm f/3.5-5.6G ED II AF-S DX Zoom-Nikkor Lens (OLD MODEL)
AF-S,0.004604158659376019,
