base¡¶«∞∏Ì,score,title
S20,0.01766132896361127,Canon PowerShot S20 3.2MP Digital Camera w/ 2x Optical Zoom
S30,0.011700212433908168,Canon PowerShot S30 3MP Digital Camera with 3x Optical Zoom
MP3,0.009601094111257745,"Pretec DC-530 0.3MP Digital Camera, PC Camera, MP3 Player, Voice Recorder"
S70,0.009278932041329223,Canon PowerShot S70 7.1MP Digital Camera with 3.6x Optical Zoom
A2200,0.005728706086418021,Canon Powershot A2200 14.1 MP Digital Camera with 4x Optical Zoom (Black)
S3,0.005616250092005688,Canon PowerShot Pro Series S3 IS 6MP with 12x Image Stabilized Zoom
A60,0.005446054573532166,Canon PowerShot A60 2MP Digital Camera with 3x Optical Zoom
SD110,0.005227593933512916,Canon PowerShot SD110 3MP Digital Elph with 2x Optical Zoom
NI-MH,0.004664578572919453,
S80,0.004653335462035298,Canon Powershot S80 8MP Digital Camera with 3.6x Wide Angle Optical Zoom
