base¡¶«∞∏Ì,score,title
D600,0.031224791527658693,Nikon D600 24.3 MP CMOS FX-Format Digital SLR Camera (Body Only) (OLD MODEL)
G15,0.028268918367681,Canon PowerShot G15 12MP Digital Camera with 3-Inch LCD (Black)
NX200,0.015284904542979738,"Samsung NX200 Digital Camera w/18-55mm Lens, Black"
NEX5,0.015284904542979738,Sony Alpha NEX NEX5K/S Digital Camera with Interchangeable Lens (Silver)
ELPH 300,0.015284904542979738,Canon PowerShot ELPH 300 HS 12.1 MP CMOS Digital Camera with Full 1080p HD Video (Silver)
SD100,0.015284904542979738,Canon PowerShot SD100 3.2MP Digital ELPH Camera w/ 2x Optical Zoom
DC290,0.015284904542979738,Kodak DC290 2MP Digital Camera w/ 3x Optical Zoom
F30,0.015284904542979738,Fujifilm FinePix F30 6.3 MP Digital Camera with 3x Optical Zoom
A3000,0.015284904542979738,Sony A3000 Interchangeable Lens Digital 20.1MP Camera with 18-55mm Lens
D200,0.01317247909250653,
