base¡¶«∞∏Ì,score,title
S70,0.012314381142545397,Canon PowerShot S70 7.1MP Digital Camera with 3.6x Optical Zoom
S10,0.009537409368102899,Nikon Coolpix S10 6MP Digital Camera with 10x Vibration Reduction Zoom
D70,0.008272235513642834,Nikon D70 Digital Camera (Body Only)
ISO 800,0.006561481446717721,
S3000,0.0051510832668862725,Nikon Coolpix S3000 12.0 MP Digital Camera with 4x Optical Electronic Vibration Reduction (VR) Zoom and 2.7-Inch LCD (Plum)
L100,0.004363170617768128,Nikon Coolpix L100 10 MP Digital Camera with 15x Optical Vibration Reduction (VR) Zoom
Z30,0.004349000728445856,Fujifilm FinePix Z30 10MP Digital Camera with 3x Optical Zoom (Pink)
D100,0.004184871953725574,Nikon D100 6MP Digital SLR Camera
APS-C,0.004113631263422287,Pentax K-01 16MP APS-C CMOS Compact System Camera Kit with DA 40mm Lens (Black)
ISO 100,0.0038941848632575767,
