base¡¶«∞∏Ì,score,title
D70,0.017020622412498982,Nikon D70 Digital Camera (Body Only)
Z710,0.012116569469461321,Kodak Easyshare Z710 7.1 MP Digital Camera with 10xOptical Zoom
DX6490,0.007443568059011967,Kodak EasyShare DX6490 4MP Digital Camera w/ 10x Optical Zoom and Camera Dock
A550,0.00684819086227267,Canon PowerShot A550 7.1MP Digital Camera with 4x Optical Zoom
AF-S,0.006641109944059244,
F2,0.005459146311342744,
HZ15,0.005104048804610521,Samsung HZ15W 12MP Digital Camera with 10x Schneider Wide Angle Dual Image Stabilized Zoom and 3.0 inch LCD (Grey)
L14,0.005104048804610521,Nikon Coolpix L14 7.1MP Digital Camera with 3x Optical Zoom (Silver)
C700,0.00508560670668599,Olympus Camedia C700 2MP Digital Camera w/ 10x Optical Zoom
D-SLR,0.005003521012079532,
