base¡¶«∞∏Ì,score,title
A80,0.018728967906078118,Canon PowerShot A80 4MP Digital Camera w/ 3x Optical Zoom
S10,0.015719014797442626,Canon PowerShot S10 2MP Digital Camera w/ 2x Optical Zoom
MP3,0.012387671636152701,"Fujifilm FinePix 40i 2.4MP Digital Camera /MP3 Player, Silver"
D60,0.008464059078931531,Nikon D60 DSLR Camera with 18-55mm f/3.5-5.6G AF-S Nikkor Zoom Lens
S80,0.007800939397121886,Nikon Coolpix S80 14.1 MP Digital Camera with 3.5-Inch OLED Touchscreen and 5x Wide-Angle Zoom Nikkor ED Lens (Red)
SD110,0.0069386160908294315,Canon PowerShot SD110 3MP Digital Elph with 2x Optical Zoom
M9,0.00686123710533783,"Leica M9 18MP Digital Range Finder Camera (Black, Body Only)"
F20,0.006714479940855092,Fuji FinePix F20 Digital Camera
P510,0.006714479940855092,Nikon COOLPIX P510 16.1 MP CMOS Digital Camera with 42x Zoom NIKKOR ED Glass Lens and GPS Record Location (Black)
K10,0.006677488150194936,Pentax K10D 10.2MP Digital SLR Camera with Shake Reduction and 18-55mm f/3.5-5.6 Lens
