base¡¶«∞∏Ì,score,title
S5200,0.010335284350028099,Fujifilm Finepix S5200 5.1MP Digital Camera with 10x Optical Zoom
K10,0.010116718819392623,Pentax K10D 10.2MP Digital SLR Camera with Shake Reduction and 18-55mm f/3.5-5.6 Lens
D90,0.009841363873294227,Nikon D90 12.3MP DX-Format CMOS Digital SLR Camera with 18-105 mm f/3.5-5.6G ED AF-S VR DX Nikkor Zoom Lens
S3000,0.008696580292205115,Nikon Coolpix S3000 12.0 MP Digital Camera with 4x Optical Electronic Vibration Reduction (VR) Zoom and 2.7-Inch LCD (Plum)
S80,0.007634239388641344,Canon Powershot S80 8MP Digital Camera with 3.6x Wide Angle Optical Zoom
Z7590,0.006219269066703001,Kodak Easyshare Z7590 5 MP Digital Camera with 10xOptical Zoom
APS-C,0.006047949707815402,Pentax K-01 16MP APS-C CMOS Compact System Camera Kit with DA 40mm Lens (Black)
Z980,0.0056960074207166225,Kodak EasyShare Z980 12MP Digital Camera with 24x Optical Image Stabilized Zoom and 3.0 inch LCD
AF-S,0.005319827122529767,
P5100,0.004980068438579964,Nikon Coolpix P5100 12.1MP Digital Camera with 3.5x Optical Vibration Reduction Zoom
