base¡¶«∞∏Ì,score,title
A70,0.016519725254650865,Canon PowerShot A70 3.2MP Digital Camera w/ 3x Optical Zoom
A77,0.01265720282432949,Sony A77 24.3 MP Translucent Mirror Digital SLR With 16-50mm F2.8 lens
L18,0.009739966033904854,Nikon Coolpix L18 8MP Digital Camera with 3x Optical Zoom (Ruby Red)
SD750,0.008629952552882894,Canon PowerShot SD750 7.1MP Digital Elph Camera with 3x Optical Zoom (Black)
S9000,0.00852125705774721,Fujifilm Finepix S9000 9MP Digital Camera with 10.7x Wide Optical Zoom
D800,0.007792791221207408,Nikon D800E 36.3 MP CMOS FX-Format Digital SLR Camera (Body Only)
SX40,0.006914274314436577,Canon SX40 HS 12.1MP Digital Camera with 35x Wide Angle Optical Image Stabilized Zoom and 2.7-Inch Vari-Angle Wide LCD
S550,0.006559189649096676,Nikon Coolpix S550 10 MP Digital Camera with 5x Optical Zoom (Graphite Black)
X50,0.006258176942902742,Konica Minolta Dimage X50 5MP Digital Camera with 2.8x Optical Zoom
A720,0.005623289196473862,Canon PowerShot A720 IS 8.0 Megapixel Compact Digital Camera with 6x Optical Zoom + Transcend 2GB SecureDigital (SD) Card + High Speed USB 2.0 SecureDigital (SD) Card Reader + (4) - 2700mAh AA NiMH Rechargeable Batteries w/5 Hour 110-220v Charger + Digital Camera Case
