,NEG_word
0,2-faced
1,2-faces
2,abnormal
3,abolish
4,abominable
5,abominably
6,abominate
7,abomination
8,abort
9,aborted
10,aborts
11,abrade
12,abrasive
13,abrupt
14,abruptly
15,abscond
16,absence
17,absent-minded
18,absentee
19,absurd
20,absurdity
21,absurdly
22,absurdness
23,abuse
24,abused
25,abuses
26,abusive
27,abysmal
28,abysmally
29,abyss
30,accidental
31,accost
32,accursed
33,accusation
34,accusations
35,accuse
36,accuses
37,accusing
38,accusingly
39,acerbate
40,acerbic
41,acerbically
42,ache
43,ached
44,aches
45,achey
46,aching
47,acrid
48,acridly
49,acridness
50,acrimonious
51,acrimoniously
52,acrimony
53,adamant
54,adamantly
55,addict
56,addicted
57,addicting
58,addicts
59,admonish
60,admonisher
61,admonishingly
62,admonishment
63,admonition
64,adulterate
65,adulterated
66,adulteration
67,adulterier
68,adversarial
69,adversary
70,adverse
71,adversity
72,afflict
73,affliction
74,afflictive
75,affront
76,afraid
77,aggravate
78,aggravating
79,aggravation
80,aggression
81,aggressive
82,aggressiveness
83,aggressor
84,aggrieve
85,aggrieved
86,aggrivation
87,aghast
88,agonies
89,agonize
90,agonizing
91,agonizingly
92,agony
93,aground
94,ail
95,ailing
96,ailment
97,aimless
98,alarm
99,alarmed
100,alarming
101,alarmingly
102,alienate
103,alienated
104,alienation
105,allegation
106,allegations
107,allege
108,allergic
109,allergies
110,allergy
111,aloof
112,altercation
113,ambiguity
114,ambiguous
115,ambivalence
116,ambivalent
117,ambush
118,amiss
119,amputate
120,anarchism
121,anarchist
122,anarchistic
123,anarchy
124,anemic
125,anger
126,angrily
127,angriness
128,angry
129,anguish
130,animosity
131,annihilate
132,annihilation
133,annoy
134,annoyance
135,annoyances
136,annoyed
137,annoying
138,annoyingly
139,annoys
140,anomalous
141,anomaly
142,antagonism
143,antagonist
144,antagonistic
145,antagonize
146,anti-
147,anti-american
148,anti-israeli
149,anti-occupation
150,anti-proliferation
151,anti-semites
152,anti-social
153,anti-us
154,anti-white
155,antipathy
156,antiquated
157,antithetical
158,anxieties
159,anxiety
160,anxious
161,anxiously
162,anxiousness
163,apathetic
164,apathetically
165,apathy
166,apocalypse
167,apocalyptic
168,apologist
169,apologists
170,appal
171,appall
172,appalled
173,appalling
174,appallingly
175,apprehension
176,apprehensions
177,apprehensive
178,apprehensively
179,arbitrary
180,arcane
181,archaic
182,arduous
183,arduously
184,argumentative
185,arrogance
186,arrogant
187,arrogantly
188,ashamed
189,asinine
190,asininely
191,asinininity
192,askance
193,asperse
194,aspersion
195,aspersions
196,assail
197,assassin
198,assassinate
199,assault
200,assult
201,astray
202,asunder
203,atrocious
204,atrocities
205,atrocity
206,atrophy
207,attack
208,attacks
209,audacious
210,audaciously
211,audaciousness
212,audacity
213,audiciously
214,austere
215,authoritarian
216,autocrat
217,autocratic
218,avalanche
219,avarice
220,avaricious
221,avariciously
222,avenge
223,averse
224,aversion
225,aweful
226,awful
227,awfully
228,awfulness
229,awkward
230,awkwardness
231,ax
232,babble
233,back-logged
234,back-wood
235,back-woods
236,backache
237,backaches
238,backaching
239,backbite
240,backbiting
241,backward
242,backwardness
243,backwood
244,backwoods
245,bad
246,badly
247,baffle
248,baffled
249,bafflement
250,baffling
251,bait
252,balk
253,banal
254,banalize
255,bane
256,banish
257,banishment
258,bankrupt
259,barbarian
260,barbaric
261,barbarically
262,barbarity
263,barbarous
264,barbarously
265,barren
266,baseless
267,bash
268,bashed
269,bashful
270,bashing
271,bastard
272,bastards
273,battered
274,battering
275,batty
276,bearish
277,beastly
278,bedlam
279,bedlamite
280,befoul
281,beg
282,beggar
283,beggarly
284,begging
285,beguile
286,belabor
287,belated
288,beleaguer
289,belie
290,belittle
291,belittled
292,belittling
293,bellicose
294,belligerence
295,belligerent
296,belligerently
297,bemoan
298,bemoaning
299,bemused
300,bent
301,berate
302,bereave
303,bereavement
304,bereft
305,berserk
306,beseech
307,beset
308,besiege
309,besmirch
310,bestial
311,betray
312,betrayal
313,betrayals
314,betrayer
315,betraying
316,betrays
317,bewail
318,beware
319,bewilder
320,bewildered
321,bewildering
322,bewilderingly
323,bewilderment
324,bewitch
325,bias
326,biased
327,biases
328,bicker
329,bickering
330,bid-rigging
331,bigotries
332,bigotry
333,bitch
334,bitchy
335,biting
336,bitingly
337,bitter
338,bitterly
339,bitterness
340,bizarre
341,blab
342,blabber
343,blackmail
344,blah
345,blame
346,blameworthy
347,bland
348,blandish
349,blaspheme
350,blasphemous
351,blasphemy
352,blasted
353,blatant
354,blatantly
355,blather
356,bleak
357,bleakly
358,bleakness
359,bleed
360,bleeding
361,bleeds
362,blemish
363,blind
364,blinding
365,blindingly
366,blindside
367,blister
368,blistering
369,bloated
370,blockage
371,blockhead
372,bloodshed
373,bloodthirsty
374,bloody
375,blotchy
376,blow
377,blunder
378,blundering
379,blunders
380,blunt
381,blur
382,bluring
383,blurred
384,blurring
385,blurry
386,blurs
387,blurt
388,boastful
389,boggle
390,bogus
391,boil
392,boiling
393,boisterous
394,bomb
395,bombard
396,bombardment
397,bombastic
398,bondage
399,bonkers
400,bore
401,bored
402,boredom
403,bores
404,boring
405,botch
406,bother
407,bothered
408,bothering
409,bothers
410,bothersome
411,bowdlerize
412,boycott
413,braggart
414,bragger
415,brainless
416,brainwash
417,brash
418,brashly
419,brashness
420,brat
421,bravado
422,brazen
423,brazenly
424,brazenness
425,breach
426,break
427,break-up
428,break-ups
429,breakdown
430,breaking
431,breaks
432,breakup
433,breakups
434,bribery
435,brimstone
436,bristle
437,brittle
438,broke
439,broken
440,broken-hearted
441,brood
442,browbeat
443,bruise
444,bruised
445,bruises
446,bruising
447,brusque
448,brutal
449,brutalising
450,brutalities
451,brutality
452,brutalize
453,brutalizing
454,brutally
455,brute
456,brutish
457,bs
458,buckle
459,bug
460,bugging
461,buggy
462,bugs
463,bulkier
464,bulkiness
465,bulky
466,bulkyness
467,bull****
468,bull----
469,bullies
470,bullshit
471,bullshyt
472,bully
473,bullying
474,bullyingly
475,bum
476,bump
477,bumped
478,bumping
479,bumpping
480,bumps
481,bumpy
482,bungle
483,bungler
484,bungling
485,bunk
486,burden
487,burdensome
488,burdensomely
489,burn
490,burned
491,burning
492,burns
493,bust
494,busts
495,busybody
496,butcher
497,butchery
498,buzzing
499,byzantine
500,cackle
501,calamities
502,calamitous
503,calamitously
504,calamity
505,callous
506,calumniate
507,calumniation
508,calumnies
509,calumnious
510,calumniously
511,calumny
512,cancer
513,cancerous
514,cannibal
515,cannibalize
516,capitulate
517,capricious
518,capriciously
519,capriciousness
520,capsize
521,careless
522,carelessness
523,caricature
524,carnage
525,carp
526,cartoonish
527,cash-strapped
528,castigate
529,castrated
530,casualty
531,cataclysm
532,cataclysmal
533,cataclysmic
534,cataclysmically
535,catastrophe
536,catastrophes
537,catastrophic
538,catastrophically
539,catastrophies
540,caustic
541,caustically
542,cautionary
543,cave
544,censure
545,chafe
546,chaff
547,chagrin
548,challenging
549,chaos
550,chaotic
551,chasten
552,chastise
553,chastisement
554,chatter
555,chatterbox
556,cheap
557,cheapen
558,cheaply
559,cheat
560,cheated
561,cheater
562,cheating
563,cheats
564,checkered
565,cheerless
566,cheesy
567,chide
568,childish
569,chill
570,chilly
571,chintzy
572,choke
573,choleric
574,choppy
575,chore
576,chronic
577,chunky
578,clamor
579,clamorous
580,clash
581,cliche
582,cliched
583,clique
584,clog
585,clogged
586,clogs
587,cloud
588,clouding
589,cloudy
590,clueless
591,clumsy
592,clunky
593,coarse
594,cocky
595,coerce
596,coercion
597,coercive
598,cold
599,coldly
600,collapse
601,collude
602,collusion
603,combative
604,combust
605,comical
606,commiserate
607,commonplace
608,commotion
609,commotions
610,complacent
611,complain
612,complained
613,complaining
614,complains
615,complaint
616,complaints
617,complex
618,complicated
619,complication
620,complicit
621,compulsion
622,compulsive
623,concede
624,conceded
625,conceit
626,conceited
627,concen
628,concens
629,concern
630,concerned
631,concerns
632,concession
633,concessions
634,condemn
635,condemnable
636,condemnation
637,condemned
638,condemns
639,condescend
640,condescending
641,condescendingly
642,condescension
643,confess
644,confession
645,confessions
646,confined
647,conflict
648,conflicted
649,conflicting
650,conflicts
651,confound
652,confounded
653,confounding
654,confront
655,confrontation
656,confrontational
657,confuse
658,confused
659,confuses
660,confusing
661,confusion
662,confusions
663,congested
664,congestion
665,cons
666,conscons
667,conservative
668,conspicuous
669,conspicuously
670,conspiracies
671,conspiracy
672,conspirator
673,conspiratorial
674,conspire
675,consternation
676,contagious
677,contaminate
678,contaminated
679,contaminates
680,contaminating
681,contamination
682,contempt
683,contemptible
684,contemptuous
685,contemptuously
686,contend
687,contention
688,contentious
689,contort
690,contortions
691,contradict
692,contradiction
693,contradictory
694,contrariness
695,contravene
696,contrive
697,contrived
698,controversial
699,controversy
700,convoluted
701,corrode
702,corrosion
703,corrosions
704,corrosive
705,corrupt
706,corrupted
707,corrupting
708,corruption
709,corrupts
710,corruptted
711,costlier
712,costly
713,counter-productive
714,counterproductive
715,coupists
716,covetous
717,coward
718,cowardly
719,crabby
720,crack
721,cracked
722,cracks
723,craftily
724,craftly
725,crafty
726,cramp
727,cramped
728,cramping
729,cranky
730,crap
731,crappy
732,craps
733,crash
734,crashed
735,crashes
736,crashing
737,crass
738,craven
739,cravenly
740,craze
741,crazily
742,craziness
743,crazy
744,creak
745,creaking
746,creaks
747,credulous
748,creep
749,creeping
750,creeps
751,creepy
752,crept
753,crime
754,criminal
755,cringe
756,cringed
757,cringes
758,cripple
759,crippled
760,cripples
761,crippling
762,crisis
763,critic
764,critical
765,criticism
766,criticisms
767,criticize
768,criticized
769,criticizing
770,critics
771,cronyism
772,crook
773,crooked
774,crooks
775,crowded
776,crowdedness
777,crude
778,cruel
779,crueler
780,cruelest
781,cruelly
782,cruelness
783,cruelties
784,cruelty
785,crumble
786,crumbling
787,crummy
788,crumple
789,crumpled
790,crumples
791,crush
792,crushed
793,crushing
794,cry
795,culpable
796,culprit
797,cumbersome
798,cunt
799,cunts
800,cuplrit
801,curse
802,cursed
803,curses
804,curt
805,cuss
806,cussed
807,cutthroat
808,cynical
809,cynicism
810,d*mn
811,damage
812,damaged
813,damages
814,damaging
815,damn
816,damnable
817,damnably
818,damnation
819,damned
820,damning
821,damper
822,danger
823,dangerous
824,dangerousness
825,dark
826,darken
827,darkened
828,darker
829,darkness
830,dastard
831,dastardly
832,daunt
833,daunting
834,dauntingly
835,dawdle
836,daze
837,dazed
838,dead
839,deadbeat
840,deadlock
841,deadly
842,deadweight
843,deaf
844,dearth
845,death
846,debacle
847,debase
848,debasement
849,debaser
850,debatable
851,debauch
852,debaucher
853,debauchery
854,debilitate
855,debilitating
856,debility
857,debt
858,debts
859,decadence
860,decadent
861,decay
862,decayed
863,deceit
864,deceitful
865,deceitfully
866,deceitfulness
867,deceive
868,deceiver
869,deceivers
870,deceiving
871,deception
872,deceptive
873,deceptively
874,declaim
875,decline
876,declines
877,declining
878,decrement
879,decrepit
880,decrepitude
881,decry
882,defamation
883,defamations
884,defamatory
885,defame
886,defect
887,defective
888,defects
889,defensive
890,defiance
891,defiant
892,defiantly
893,deficiencies
894,deficiency
895,deficient
896,defile
897,defiler
898,deform
899,deformed
900,defrauding
901,defunct
902,defy
903,degenerate
904,degenerately
905,degeneration
906,degradation
907,degrade
908,degrading
909,degradingly
910,dehumanization
911,dehumanize
912,deign
913,deject
914,dejected
915,dejectedly
916,dejection
917,delay
918,delayed
919,delaying
920,delays
921,delinquency
922,delinquent
923,delirious
924,delirium
925,delude
926,deluded
927,deluge
928,delusion
929,delusional
930,delusions
931,demean
932,demeaning
933,demise
934,demolish
935,demolisher
936,demon
937,demonic
938,demonize
939,demonized
940,demonizes
941,demonizing
942,demoralize
943,demoralizing
944,demoralizingly
945,denial
946,denied
947,denies
948,denigrate
949,denounce
950,dense
951,dent
952,dented
953,dents
954,denunciate
955,denunciation
956,denunciations
957,deny
958,denying
959,deplete
960,deplorable
961,deplorably
962,deplore
963,deploring
964,deploringly
965,deprave
966,depraved
967,depravedly
968,deprecate
969,depress
970,depressed
971,depressing
972,depressingly
973,depression
974,depressions
975,deprive
976,deprived
977,deride
978,derision
979,derisive
980,derisively
981,derisiveness
982,derogatory
983,desecrate
984,desert
985,desertion
986,desiccate
987,desiccated
988,desititute
989,desolate
990,desolately
991,desolation
992,despair
993,despairing
994,despairingly
995,desperate
996,desperately
997,desperation
998,despicable
999,despicably
1000,despise
1001,despised
1002,despoil
1003,despoiler
1004,despondence
1005,despondency
1006,despondent
1007,despondently
1008,despot
1009,despotic
1010,despotism
1011,destabilisation
1012,destains
1013,destitute
1014,destitution
1015,destroy
1016,destroyer
1017,destruction
1018,destructive
1019,desultory
1020,deter
1021,deteriorate
1022,deteriorating
1023,deterioration
1024,deterrent
1025,detest
1026,detestable
1027,detestably
1028,detested
1029,detesting
1030,detests
1031,detract
1032,detracted
1033,detracting
1034,detraction
1035,detracts
1036,detriment
1037,detrimental
1038,devastate
1039,devastated
1040,devastates
1041,devastating
1042,devastatingly
1043,devastation
1044,deviate
1045,deviation
1046,devil
1047,devilish
1048,devilishly
1049,devilment
1050,devilry
1051,devious
1052,deviously
1053,deviousness
1054,devoid
1055,diabolic
1056,diabolical
1057,diabolically
1058,diametrically
1059,diappointed
1060,diatribe
1061,diatribes
1062,dick
1063,dictator
1064,dictatorial
1065,die
1066,die-hard
1067,died
1068,dies
1069,difficult
1070,difficulties
1071,difficulty
1072,diffidence
1073,dilapidated
1074,dilemma
1075,dilly-dally
1076,dim
1077,dimmer
1078,din
1079,ding
1080,dings
1081,dinky
1082,dire
1083,direly
1084,direness
1085,dirt
1086,dirtbag
1087,dirtbags
