,word,Tag
0,a+,POS
1,abound,POS
2,abounds,POS
3,abundance,POS
4,abundant,POS
5,accessable,POS
6,accessible,POS
7,acclaim,POS
8,acclaimed,POS
9,acclamation,POS
10,accolade,POS
11,accolades,POS
12,accommodative,POS
13,accomodative,POS
14,accomplish,POS
15,accomplished,POS
16,accomplishment,POS
17,accomplishments,POS
18,accurate,POS
19,accurately,POS
20,achievable,POS
21,achievement,POS
22,achievements,POS
23,achievible,POS
24,acumen,POS
25,adaptable,POS
26,adaptive,POS
27,adequate,POS
28,adjustable,POS
29,admirable,POS
30,admirably,POS
31,admiration,POS
32,admire,POS
33,admirer,POS
34,admiring,POS
35,admiringly,POS
36,adorable,POS
37,adore,POS
38,adored,POS
39,adorer,POS
40,adoring,POS
41,adoringly,POS
42,adroit,POS
43,adroitly,POS
44,adulate,POS
45,adulation,POS
46,adulatory,POS
47,advanced,POS
48,advantage,POS
49,advantageous,POS
50,advantageously,POS
51,advantages,POS
52,adventuresome,POS
53,adventurous,POS
54,advocate,POS
55,advocated,POS
56,advocates,POS
57,affability,POS
58,affable,POS
59,affably,POS
60,affectation,POS
61,affection,POS
62,affectionate,POS
63,affinity,POS
64,affirm,POS
65,affirmation,POS
66,affirmative,POS
67,affluence,POS
68,affluent,POS
69,afford,POS
70,affordable,POS
71,affordably,POS
72,afordable,POS
73,agile,POS
74,agilely,POS
75,agility,POS
76,agreeable,POS
77,agreeableness,POS
78,agreeably,POS
79,all-around,POS
80,alluring,POS
81,alluringly,POS
82,altruistic,POS
83,altruistically,POS
84,amaze,POS
85,amazed,POS
86,amazement,POS
87,amazes,POS
88,amazing,POS
89,amazingly,POS
90,ambitious,POS
91,ambitiously,POS
92,ameliorate,POS
93,amenable,POS
94,amenity,POS
95,amiability,POS
96,amiabily,POS
97,amiable,POS
98,amicability,POS
99,amicable,POS
100,amicably,POS
101,amity,POS
102,ample,POS
103,amply,POS
104,amuse,POS
105,amusing,POS
106,amusingly,POS
107,angel,POS
108,angelic,POS
109,apotheosis,POS
110,appeal,POS
111,appealing,POS
112,applaud,POS
113,appreciable,POS
114,appreciate,POS
115,appreciated,POS
116,appreciates,POS
117,appreciative,POS
118,appreciatively,POS
119,appropriate,POS
120,approval,POS
121,approve,POS
122,ardent,POS
123,ardently,POS
124,ardor,POS
125,articulate,POS
126,aspiration,POS
127,aspirations,POS
128,aspire,POS
129,assurance,POS
130,assurances,POS
131,assure,POS
132,assuredly,POS
133,assuring,POS
134,astonish,POS
135,astonished,POS
136,astonishing,POS
137,astonishingly,POS
138,astonishment,POS
139,astound,POS
140,astounded,POS
141,astounding,POS
142,astoundingly,POS
143,astutely,POS
144,attentive,POS
145,attraction,POS
146,attractive,POS
147,attractively,POS
148,attune,POS
149,audible,POS
150,audibly,POS
151,auspicious,POS
152,authentic,POS
153,authoritative,POS
154,autonomous,POS
155,available,POS
156,aver,POS
157,avid,POS
158,avidly,POS
159,award,POS
160,awarded,POS
161,awards,POS
162,awe,POS
163,awed,POS
164,awesome,POS
165,awesomely,POS
166,awesomeness,POS
167,awestruck,POS
168,awsome,POS
169,backbone,POS
170,balanced,POS
171,bargain,POS
172,beauteous,POS
173,beautiful,POS
174,beautifullly,POS
175,beautifully,POS
176,beautify,POS
177,beauty,POS
178,beckon,POS
179,beckoned,POS
180,beckoning,POS
181,beckons,POS
182,believable,POS
183,believeable,POS
184,beloved,POS
185,benefactor,POS
186,beneficent,POS
187,beneficial,POS
188,beneficially,POS
189,beneficiary,POS
190,benefit,POS
191,benefits,POS
192,benevolence,POS
193,benevolent,POS
194,benifits,POS
195,best,POS
196,best-known,POS
197,best-performing,POS
198,best-selling,POS
199,better,POS
200,better-known,POS
201,better-than-expected,POS
202,beutifully,POS
203,blameless,POS
204,bless,POS
205,blessing,POS
206,bliss,POS
207,blissful,POS
208,blissfully,POS
209,blithe,POS
210,blockbuster,POS
211,bloom,POS
212,blossom,POS
213,bolster,POS
214,bonny,POS
215,bonus,POS
216,bonuses,POS
217,boom,POS
218,booming,POS
219,boost,POS
220,boundless,POS
221,bountiful,POS
222,brainiest,POS
223,brainy,POS
224,brand-new,POS
225,brave,POS
226,bravery,POS
227,bravo,POS
228,breakthrough,POS
229,breakthroughs,POS
230,breathlessness,POS
231,breathtaking,POS
232,breathtakingly,POS
233,breeze,POS
234,bright,POS
235,brighten,POS
236,brighter,POS
237,brightest,POS
238,brilliance,POS
239,brilliances,POS
240,brilliant,POS
241,brilliantly,POS
242,brisk,POS
243,brotherly,POS
244,bullish,POS
245,buoyant,POS
246,cajole,POS
247,calm,POS
248,calming,POS
249,calmness,POS
250,capability,POS
251,capable,POS
252,capably,POS
253,captivate,POS
254,captivating,POS
255,carefree,POS
256,cashback,POS
257,cashbacks,POS
258,catchy,POS
259,celebrate,POS
260,celebrated,POS
261,celebration,POS
262,celebratory,POS
263,champ,POS
264,champion,POS
265,charisma,POS
266,charismatic,POS
267,charitable,POS
268,charm,POS
269,charming,POS
270,charmingly,POS
271,chaste,POS
272,cheaper,POS
273,cheapest,POS
274,cheer,POS
275,cheerful,POS
276,cheery,POS
277,cherish,POS
278,cherished,POS
279,cherub,POS
280,chic,POS
281,chivalrous,POS
282,chivalry,POS
283,civility,POS
284,civilize,POS
285,clarity,POS
286,classic,POS
287,classy,POS
288,clean,POS
289,cleaner,POS
290,cleanest,POS
291,cleanliness,POS
292,cleanly,POS
293,clear,POS
294,clear-cut,POS
295,cleared,POS
296,clearer,POS
297,clearly,POS
298,clears,POS
299,clever,POS
300,cleverly,POS
301,cohere,POS
302,coherence,POS
303,coherent,POS
304,cohesive,POS
305,colorful,POS
306,comely,POS
307,comfort,POS
308,comfortable,POS
309,comfortably,POS
310,comforting,POS
311,comfy,POS
312,commend,POS
313,commendable,POS
314,commendably,POS
315,commitment,POS
316,commodious,POS
317,compact,POS
318,compactly,POS
319,compassion,POS
320,compassionate,POS
321,compatible,POS
322,competitive,POS
323,complement,POS
324,complementary,POS
325,complemented,POS
326,complements,POS
327,compliant,POS
328,compliment,POS
329,complimentary,POS
330,comprehensive,POS
331,conciliate,POS
332,conciliatory,POS
333,concise,POS
334,confidence,POS
335,confident,POS
336,congenial,POS
337,congratulate,POS
338,congratulation,POS
339,congratulations,POS
340,congratulatory,POS
341,conscientious,POS
342,considerate,POS
343,consistent,POS
344,consistently,POS
345,constructive,POS
346,consummate,POS
347,contentment,POS
348,continuity,POS
349,contrasty,POS
350,contribution,POS
351,convenience,POS
352,convenient,POS
353,conveniently,POS
354,convience,POS
355,convienient,POS
356,convient,POS
357,convincing,POS
358,convincingly,POS
359,cool,POS
360,coolest,POS
361,cooperative,POS
362,cooperatively,POS
363,cornerstone,POS
364,correct,POS
365,correctly,POS
366,cost-effective,POS
367,cost-saving,POS
368,counter-attack,POS
369,counter-attacks,POS
370,courage,POS
371,courageous,POS
372,courageously,POS
373,courageousness,POS
374,courteous,POS
375,courtly,POS
376,covenant,POS
377,cozy,POS
378,creative,POS
379,credence,POS
380,credible,POS
381,crisp,POS
382,crisper,POS
383,cure,POS
384,cure-all,POS
385,cushy,POS
386,cute,POS
387,cuteness,POS
388,danke,POS
389,danken,POS
390,daring,POS
391,daringly,POS
392,darling,POS
393,dashing,POS
394,dauntless,POS
395,dawn,POS
396,dazzle,POS
397,dazzled,POS
398,dazzling,POS
399,dead-cheap,POS
400,dead-on,POS
401,decency,POS
402,decent,POS
403,decisive,POS
404,decisiveness,POS
405,dedicated,POS
406,defeat,POS
407,defeated,POS
408,defeating,POS
409,defeats,POS
410,defender,POS
411,deference,POS
412,deft,POS
413,deginified,POS
414,delectable,POS
415,delicacy,POS
416,delicate,POS
417,delicious,POS
418,delight,POS
419,delighted,POS
420,delightful,POS
421,delightfully,POS
422,delightfulness,POS
423,dependable,POS
424,dependably,POS
425,deservedly,POS
426,deserving,POS
427,desirable,POS
428,desiring,POS
429,desirous,POS
430,destiny,POS
431,detachable,POS
432,devout,POS
433,dexterous,POS
434,dexterously,POS
435,dextrous,POS
436,dignified,POS
437,dignify,POS
438,dignity,POS
439,diligence,POS
440,diligent,POS
441,diligently,POS
442,diplomatic,POS
443,dirt-cheap,POS
444,distinction,POS
445,distinctive,POS
446,distinguished,POS
447,diversified,POS
448,divine,POS
449,divinely,POS
450,dominate,POS
451,dominated,POS
452,dominates,POS
453,dote,POS
454,dotingly,POS
455,doubtless,POS
456,dreamland,POS
457,dumbfounded,POS
458,dumbfounding,POS
459,dummy-proof,POS
460,durable,POS
461,dynamic,POS
462,eager,POS
463,eagerly,POS
464,eagerness,POS
465,earnest,POS
466,earnestly,POS
467,earnestness,POS
468,ease,POS
469,eased,POS
470,eases,POS
471,easier,POS
472,easiest,POS
473,easiness,POS
474,easing,POS
475,easy,POS
476,easy-to-use,POS
477,easygoing,POS
478,ebullience,POS
479,ebullient,POS
480,ebulliently,POS
481,ecenomical,POS
482,economical,POS
483,ecstasies,POS
484,ecstasy,POS
485,ecstatic,POS
486,ecstatically,POS
487,edify,POS
488,educated,POS
489,effective,POS
490,effectively,POS
491,effectiveness,POS
492,effectual,POS
493,efficacious,POS
494,efficient,POS
495,efficiently,POS
496,effortless,POS
497,effortlessly,POS
498,effusion,POS
499,effusive,POS
500,effusively,POS
501,effusiveness,POS
502,elan,POS
503,elate,POS
504,elated,POS
505,elatedly,POS
506,elation,POS
507,electrify,POS
508,elegance,POS
509,elegant,POS
510,elegantly,POS
511,elevate,POS
512,elite,POS
513,eloquence,POS
514,eloquent,POS
515,eloquently,POS
516,embolden,POS
517,eminence,POS
518,eminent,POS
519,empathize,POS
520,empathy,POS
521,empower,POS
522,empowerment,POS
523,enchant,POS
524,enchanted,POS
525,enchanting,POS
526,enchantingly,POS
527,encourage,POS
528,encouragement,POS
529,encouraging,POS
530,encouragingly,POS
531,endear,POS
532,endearing,POS
533,endorse,POS
534,endorsed,POS
535,endorsement,POS
536,endorses,POS
537,endorsing,POS
538,energetic,POS
539,energize,POS
540,energy-efficient,POS
541,energy-saving,POS
542,engaging,POS
543,engrossing,POS
544,enhance,POS
545,enhanced,POS
546,enhancement,POS
547,enhances,POS
548,enjoy,POS
549,enjoyable,POS
550,enjoyably,POS
551,enjoyed,POS
552,enjoying,POS
553,enjoyment,POS
554,enjoys,POS
555,enlighten,POS
556,enlightenment,POS
557,enliven,POS
558,ennoble,POS
559,enough,POS
560,enrapt,POS
561,enrapture,POS
562,enraptured,POS
563,enrich,POS
564,enrichment,POS
565,enterprising,POS
566,entertain,POS
567,entertaining,POS
568,entertains,POS
569,enthral,POS
570,enthrall,POS
571,enthralled,POS
